,22.03.2026 19:03:57,23.03.2026 05:08:38,24.03.2026 04:58:43,25.03.2026 04:58:38,26.03.2026 05:11:46,27.03.2026 05:12:20,28.03.2026 04:57:32,29.03.2026 05:15:12,30.03.2026 05:30:31,31.03.2026 05:13:50,01.04.2026 05:30:11,02.04.2026 05:07:45,03.04.2026 05:09:18,04.04.2026 04:55:09,05.04.2026 05:16:50,06.04.2026 05:29:30,07.04.2026 05:13:50,08.04.2026 05:15:51,09.04.2026 05:14:13,10.04.2026 05:30:46,11.04.2026 05:00:53,12.04.2026 05:28:35,13.04.2026 05:47:07,14.04.2026 05:29:08,15.04.2026 05:29:18,16.04.2026 05:35:25,17.04.2026 05:33:30,18.04.2026 05:11:29,19.04.2026 05:34:41,20.04.2026 05:46:37,21.04.2026 05:31:54,22.04.2026 05:32:57,23.04.2026 05:35:27,24.04.2026 05:40:41,25.04.2026 05:16:05,26.04.2026 05:44:49,27.04.2026 06:00:17,28.04.2026 06:12:05,29.04.2026 05:59:13,30.04.2026 06:10:51,01.05.2026 06:20:49,02.05.2026 05:41:28,03.05.2026 06:10:22
08.10.2026 - 22.10.2026,24901,24901,24901,24901,24901,24901,24901,24901,24901,24901,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,25124,25604,25604,25842,25842,25842,25842,25842,25842,25842,25842,25842,25842,25842,25836,25842,25842,25842,25842,25842,25842
20.10.2026 - 03.11.2026,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,24395,25097,25097,24597,24597,24597,24597,24597,24597,24597,24597,24597,24597,24597,24591,24597,24597,24597,24597,24597,24597
04.11.2026 - 18.11.2026,23904,23904,23904,23904,23904,23904,23904,23904,23904,23904,24077,24077,24077,24077,24077,24077,24077,24077,24077,24077,24249,24249,24249,24815,25002,25576,25576,25576,25576,25576,25576,25576,25576,25576,25576,25576,25569,25805,25805,25805,25805,25805,25805
17.11.2026 - 01.12.2026,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,23830,24542,24542,24142,24142,24142,24142,24142,24142,24142,24142,24142,24142,24142,24135,24611,24611,24783,24783,24783,24783
30.11.2026 - 14.12.2026,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,29816,30523,30523,29458,29458,29458,29458,29458,29458,29458,29458,29458,29458,29458,29452,29587,29587,29587,29587,29587,29587
05.01.2027 - 19.01.2027,23575,23575,23575,23575,23575,23575,23575,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23748,23921,23921,23921,24648,24648,24148,24148,24148,24148,24148,24148,24148,24148,24148,24148,24148,24142,24148,24148,24148,24148,24148,24148
20.01.2027 - 03.02.2027,24337,24337,24337,24337,24337,24337,24337,24337,24337,24337,24337,24337,24337,24531,24531,24531,24531,24531,24531,24531,24531,24531,24531,25242,25242,25242,25242,25242,25242,25242,25242,25242,25242,25242,25242,25242,25236,25242,25242,25242,25242,25242,25242
03.02.2027 - 17.02.2027,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,28702,29412,29412,29412,29412,29412,29412,29412,29412,29412,29412,29412,29412,29412,29406,29412,29412,29412,29412,29412,29412
17.02.2027 - 03.03.2027,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24398,24569,24569,25285,25285,25285,25285,25285,25285,25285,25285,25285,25285,25285,25285,25285,25279,25285,25285,25285,25285,25285,25285
03.03.2027 - 17.03.2027,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24187,24888,24888,24888,24888,24888,24888,24888,24888,24888,24888,24888,24888,24888,24882,24888,24888,24888,24888,24888,24888
17.03.2027 - 31.03.2027,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24770,24770,25001,25001,25001,25001,25001,25172,25343,25343,25343,25343,25343,25337,25343,25343,25343,25343,25343,25343
31.03.2027 - 14.04.2027,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24244,24947,24947,24947,24947,24947,24947,24947,24947,24947,24947,24947,24947,24947,24941,24947,24947,24947,24947,24947,24947
14.04.2027 - 28.04.2027,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24764,24770,24770,24770,24770,24770,24770
28.04.2027 - 12.05.2027,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24072,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24770,24764,24770,24770,24770,24770,24770,24770
