,22.03.2026 19:02:12,23.03.2026 05:06:37,24.03.2026 04:56:33,25.03.2026 04:56:56,26.03.2026 05:09:42,27.03.2026 05:10:17,28.03.2026 04:55:41,29.03.2026 05:13:30,30.03.2026 05:28:30,31.03.2026 05:12:03,01.04.2026 05:28:00,02.04.2026 05:06:00,03.04.2026 05:07:34,04.04.2026 04:53:06,05.04.2026 05:15:02,06.04.2026 05:27:43,07.04.2026 05:12:10,08.04.2026 05:14:10,09.04.2026 05:12:32,10.04.2026 05:28:35,11.04.2026 04:58:49,12.04.2026 05:26:48,13.04.2026 05:45:11,14.04.2026 05:27:06,15.04.2026 05:27:27,16.04.2026 05:33:45
05.04.2026 - 16.04.2026,18932,18932,18432,17031,,,12230,,,,,,,,,,,,,,,,,,,
09.04.2026 - 20.04.2026,13903,13903,13903,13903,,,,,,,,,,,,,,,,,,,,,,
12.04.2026 - 23.04.2026,14532,14532,14453,14453,,,,,,,,,,,,,,,,,,,,,,
19.04.2026 - 30.04.2026,16652,16652,16652,16652,,,,16681,16681,16681,,,,,,,,,,,,,,,,
19.04.2026 - 01.05.2026,19496,19496,19496,19496,19531,19576,19553,19520,19520,19520,,,,,,,,,,,,,,,,
26.04.2026 - 07.05.2026,16666,16666,16499,16499,16499,16666,16582,16582,16582,16582,16582,,,,,,,,,,,,,,,
30.04.2026 - 11.05.2026,14853,14853,14853,14853,14853,14882,14882,14882,14882,14932,14932,,,,,,,,,,,,,,,
03.05.2026 - 14.05.2026,14931,14931,14831,14231,14131,14131,14131,14131,14131,,,,,,,,,14431,14431,14431,,,,14431,,
08.05.2026 - 19.05.2026,17102,17102,16031,16031,16031,16031,15602,15602,15602,15380,,,15531,15651,15651,15681,15681,,,15702,15702,15702,15702,16031,16031,
17.05.2026 - 28.05.2026,,,,,,,,,,,17703,,,,,,,,,17303,16502,16102,16502,16832,16832,18403
25.05.2026 - 06.06.2026,16734,16734,16534,16034,16034,16034,15783,15783,15783,15564,15564,,15664,15664,15664,15664,15664,15564,15564,15033,15033,15033,15033,15333,15333,15333
