,28.09.2025 20:01:53,28.09.2025 21:46:52,29.09.2025 03:44:08,30.09.2025 03:37:45,01.10.2025 03:47:22,02.10.2025 03:35:51,04.10.2025 03:32:23,05.10.2025 03:41:31,06.10.2025 03:39:30
24.10.2025 - 07.11.2025,11376,11376,,11601,11694,11694,,,
01.11.2025 - 15.11.2025,,,,,,,,11845,11845
03.11.2025 - 17.11.2025,14485,14485,,13897,13897,13282,13282,13282,13282
07.11.2025 - 21.11.2025,13571,13571,,13309,13309,12722,12722,12825,12825
10.11.2025 - 24.11.2025,12368,12368,,12003,12330,12563,12563,12498,12498
14.11.2025 - 28.11.2025,12106,12106,,12237,12041,12134,12041,12041,12041
17.11.2025 - 01.12.2025,11742,11742,,11649,11780,11677,11780,11780,11780
22.11.2025 - 06.12.2025,11429,11429,,11323,11323,11323,11429,11429,11429
24.11.2025 - 08.12.2025,11415,11415,,11415,11415,11415,11415,11519,11415
29.11.2025 - 13.12.2025,11415,11415,,11415,11415,11519,11519,11519,11519
01.12.2025 - 15.12.2025,11780,11780,,11780,11780,11780,11780,11780,11780
06.12.2025 - 20.12.2025,12199,12199,,12199,12199,12199,12199,12199,12199
22.12.2025 - 05.01.2026,15258,15258,,15258,15258,15258,15258,15258,15361
27.12.2025 - 10.01.2026,12587,12587,,12689,12689,12689,12689,12689,12910
16.01.2026 - 30.01.2026,14745,14745,,14745,14994,14807,14807,14807,14807
17.01.2026 - 31.01.2026,12694,12694,,12694,12955,12955,12955,13086,13086
31.01.2026 - 14.02.2026,12368,12368,,12368,12368,12172,12172,12172,12172
02.02.2026 - 16.02.2026,14745,14745,,14745,14745,14745,14745,14745,14745
09.02.2026 - 23.02.2026,13067,13067,,13067,13067,13067,13067,13067,13067
13.02.2026 - 27.02.2026,14459,14459,,14459,14459,14459,14459,14459,14459
14.02.2026 - 28.02.2026,13217,13217,,13478,13478,13478,13179,13179,13179
16.02.2026 - 02.03.2026,13048,13048,,12955,12955,12759,12759,12983,13086
21.02.2026 - 07.03.2026,11938,11938,,11938,11938,11938,11938,12041,12041
27.02.2026 - 13.03.2026,13244,13244,,13244,13244,13244,13244,13244,13244
28.02.2026 - 14.03.2026,12526,12526,,12433,12433,12433,12433,12433,12433
02.03.2026 - 16.03.2026,14210,14210,,14210,14210,14210,14210,14210,14210
06.03.2026 - 20.03.2026,12003,12003,,12212,12212,12212,12212,12212,12212
07.03.2026 - 21.03.2026,12106,12106,,12106,12106,12106,12106,12106,12106
09.03.2026 - 23.03.2026,12237,12237,,12237,12237,12237,12237,12237,12237
13.03.2026 - 27.03.2026,12591,12591,,12694,12694,12825,12825,12825,12825
14.03.2026 - 28.03.2026,12433,12433,,12433,12433,12433,12433,12433,12433
16.03.2026 - 30.03.2026,12003,12003,,12003,12003,12003,12003,12003,12003
18.03.2026 - 02.04.2026,,,12836,,,,,,
20.03.2026 - 03.04.2026,13282,13282,,13282,13282,13282,13282,13282,13282
23.03.2026 - 06.04.2026,12433,12433,,12433,12433,12433,12433,12433,12433
25.03.2026 - 09.04.2026,,,12822,,,,,,
