,27.09.2025 21:08:09,27.09.2025 21:39:06,27.09.2025 22:39:09,27.09.2025 23:18:13,28.09.2025 17:10:32,28.09.2025 18:57:14
30.09 - 15.10,9747,9747,9747,9747,9747,9747
07.10 - 22.10,9847,9847,9847,9847,9847,9847
14.10 - 29.10,9776,9776,9776,9776,9776,9776
21.10 - 05.11,9776,9776,9776,9776,9776,9776
28.10 - 12.11,9876,9876,9876,9876,9876,9876
18.03 - 02.04,9726,9726,9726,9726,9726,9726
25.03 - 09.04,9716,9716,9716,9716,9716,9716
01.04 - 16.04,9726,9726,9726,9726,9726,9726
08.04 - 23.04,10182,10182,10182,10182,10182,10182
15.04 - 30.04,10376,10376,10376,10376,10376,10376
29.04 - 14.05,10126,10126,10126,10126,10126,10126
06.05 - 21.05,9776,9776,9776,9776,9776,9776
13.05 - 28.05,10576,10576,10576,10576,10576,10576
20.05 - 04.06,10726,10726,10726,10726,10726,10726
27.05 - 11.06,9747,9747,9747,9747,9747,9747
03.06 - 18.06,10047,10047,10047,10047,10047,10047
10.06 - 25.06,10576,10576,10576,10576,10576,10576
17.06 - 02.07,9747,9747,9747,9747,9747,9747
24.06 - 09.07,9747,9747,9747,9747,9747,9747
01.07 - 16.07,10197,10197,10197,10197,10197,10197
08.07 - 23.07,10097,10097,10097,10097,10097,10097
15.07 - 30.07,9997,9997,9997,9997,9997,9997
22.07 - 06.08,10197,10197,10197,10197,10197,10197
29.07 - 13.08,9897,9897,9897,9897,9897,9897
05.08 - 20.08,10057,10057,10057,10057,10257,10257
12.08 - 27.08,9897,9897,9897,9897,9897,9897
19.08 - 03.09,9997,9997,9997,9997,9997,9997
26.08 - 10.09,9897,9897,9897,9897,9897,9897
02.09 - 17.09,9847,9847,9847,9847,9847,9847
09.09 - 24.09,10357,10357,10357,10357,10357,10357
16.09 - 01.10,10047,10047,10047,10047,10047,10047
23.09 - 08.10,9926,9926,9926,9926,9926,9926
