,22.03.2026 19:02:26,22.03.2026 19:27:08,23.03.2026 05:06:53,24.03.2026 04:56:51,25.03.2026 04:57:09,26.03.2026 05:09:58,27.03.2026 05:10:33,28.03.2026 04:55:54,29.03.2026 05:13:43,30.03.2026 05:28:46,31.03.2026 05:12:17,01.04.2026 05:28:18,02.04.2026 05:06:15,03.04.2026 05:07:49,04.04.2026 04:53:23,05.04.2026 05:15:16,06.04.2026 05:27:56,07.04.2026 05:12:23,08.04.2026 05:14:23,09.04.2026 05:12:46,10.04.2026 05:28:53,11.04.2026 04:59:05,12.04.2026 05:27:02,13.04.2026 05:45:27
08.04.2026 - 22.04.2026,9204,9204,9204,,,,,,,,,,,,,,,,,,,,,
15.04.2026 - 29.04.2026,9954,9954,9954,10034,10034,,,,,,,,,,,,,,,,,,,
20.04.2026 - 04.05.2026,9432,9432,9432,9516,9432,9569,9485,9410,9410,9410,9305,,,,,,,,,,,,,
22.04.2026 - 06.05.2026,10119,10119,10119,10308,10308,10256,10467,10278,10278,10361,10489,,,,,,,,,,,,,
27.04.2026 - 11.05.2026,10256,10256,10256,10172,10172,10308,10361,10308,10308,10308,10256,,,,,,,,,,,,,
27.04.2026 - 12.05.2026,,,,,,26859,26926,19317,19317,19317,14872,,,,,,,,,,,,,
29.04.2026 - 13.05.2026,10165,10165,10165,10084,10084,10165,10165,10134,10134,10134,10255,10255,,,,,,,,,,,,
06.05.2026 - 20.05.2026,11233,11233,11233,10608,10608,10608,10608,10608,10608,10608,10608,10921,10921,10921,10921,10921,10921,10921,10608,10608,10712,10712,10712,10712
11.05.2026 - 25.05.2026,11055,11055,11055,10608,10608,10608,10608,10400,10400,10400,10244,10348,10348,10348,10556,10556,10556,10556,10556,10452,10452,10348,10348,10348
13.05.2026 - 27.05.2026,9903,9903,9903,9903,9903,9903,9803,9803,9803,9803,9803,9703,9703,9703,9703,9703,9703,9703,9703,9703,9703,9603,9303,9303
18.05.2026 - 01.06.2026,10763,10763,10763,10663,10432,10532,10532,10153,10153,10153,9953,,,,10603,10603,10603,10603,,,,,,
20.05.2026 - 03.06.2026,9672,9672,9672,9442,9442,9442,9755,9755,9859,9547,9703,9807,9911,9807,10015,9911,9911,9911,9911,9911,9911,10015,10223,10223
