,01.03.2026 21:29:53,01.03.2026 21:34:14,02.03.2026 04:50:52,03.03.2026 04:49:14,04.03.2026 04:42:47,05.03.2026 04:47:05,06.03.2026 04:44:34,07.03.2026 04:23:35,08.03.2026 04:45:31,09.03.2026 04:54:15,10.03.2026 04:44:35,11.03.2026 04:45:34,13.03.2026 04:46:52
03.05.2026 - 15.05.2026,10863,10863,10863,10863,10871,10871,10833,10833,10833,10833,10833,11406,10755
10.05.2026 - 22.05.2026,10811,10811,10811,10811,10819,10965,11094,11094,11094,11094,10965,11565,10814
17.05.2026 - 29.05.2026,11182,11182,11182,11182,11190,11190,11308,11308,11308,11308,11308,11808,11337
31.05.2026 - 12.06.2026,10854,10854,10854,10854,10861,10861,10861,10861,10861,10861,10861,11261,10907
07.06.2026 - 19.06.2026,10601,10601,10601,10601,10609,10609,10609,10609,10609,10609,10609,11209,10604
21.06.2026 - 03.07.2026,11048,11048,11048,11048,11055,11055,11055,11055,11055,11055,11055,11655,11020
28.06.2026 - 10.07.2026,11411,11411,11411,11375,11383,11383,11320,11320,11320,11320,11320,11856,11358
05.07.2026 - 17.07.2026,11873,11873,11873,11873,11881,11881,11881,11881,11881,11881,11881,12381,11842
12.07.2026 - 24.07.2026,11765,11765,11765,11765,11773,11865,12031,12071,12071,12071,11994,12429,11914
19.07.2026 - 31.07.2026,11856,11856,11856,11856,11865,11865,11865,11865,11865,11865,11865,12365,11837
09.08.2026 - 21.08.2026,12571,12571,12571,12571,12580,12580,12580,12580,12580,12580,12580,13080,12575
23.08.2026 - 04.09.2026,12644,12644,12644,12644,12652,12652,12652,12652,12652,12652,12652,13152,12702
13.09.2026 - 25.09.2026,12408,12408,12408,12408,12417,12417,12417,12417,12417,12417,12417,13017,12354
