,28.09.2025 20:02:08,28.09.2025 21:47:11,29.09.2025 03:44:25,30.09.2025 03:38:01,01.10.2025 03:47:37,02.10.2025 03:36:07
20.10.2025 - 31.10.2025,10178,10178,10378,8988,10552,
04.11.2025 - 15.11.2025,10557,10557,10557,10186,10186,10001
15.11.2025 - 26.11.2025,11521,11521,11521,11521,10682,
17.11.2025 - 29.11.2025,9660,9660,9660,9569,9761,9660
25.11.2025 - 06.12.2025,9770,9770,9770,9770,9770,9884
29.11.2025 - 10.12.2025,9998,9998,9998,9998,9998,9648
23.02.2026 - 06.03.2026,12701,12701,12701,12701,12701,12701
02.03.2026 - 13.03.2026,10493,10493,10493,10493,10493,10493
03.03.2026 - 14.03.2026,,,,11685,11685,11685
04.03.2026 - 15.03.2026,10203,10203,10203,10203,10203,10203
09.03.2026 - 20.03.2026,10752,10752,10752,10752,10752,10752
11.03.2026 - 22.03.2026,9947,9947,9947,9947,9947,9947
16.03.2026 - 27.03.2026,10233,10233,10233,10233,10233,10233
17.03.2026 - 28.03.2026,10524,10524,10524,10623,10623,10623
18.03.2026 - 29.03.2026,10182,10182,10182,10182,10182,10182
23.03.2026 - 03.04.2026,10188,10188,10188,10188,10188,10188
30.03.2026 - 10.04.2026,14455,14455,14455,14455,14455,14455
31.03.2026 - 11.04.2026,10630,10630,10630,10630,10630,10630
06.04.2026 - 17.04.2026,12224,12224,12224,12224,12224,12224
07.04.2026 - 18.04.2026,11398,11398,11398,11398,11398,11398
13.04.2026 - 24.04.2026,11877,11877,11877,11877,11877,11877
14.04.2026 - 25.04.2026,11296,11296,11296,11296,11296,11296
20.04.2026 - 01.05.2026,12924,12924,12924,12924,12924,12924
27.04.2026 - 08.05.2026,12589,12589,12589,12589,12589,12589
01.05.2026 - 12.05.2026,9879,9879,9879,9879,9879,9879
02.05.2026 - 13.05.2026,9814,9814,9814,9814,9814,9814
04.05.2026 - 15.05.2026,9871,9871,9871,9871,9871,9871
08.05.2026 - 19.05.2026,9613,9613,9613,9613,9613,9742
09.05.2026 - 20.05.2026,9687,9687,9687,9687,9687,9687
10.05.2026 - 21.05.2026,9624,9624,9624,9624,9624,9624
11.05.2026 - 22.05.2026,9356,9356,9356,9871,9871,9871
15.05.2026 - 26.05.2026,9505,9505,9505,9630,9505,9505
16.05.2026 - 27.05.2026,9687,9687,9687,9560,9687,9941
17.05.2026 - 28.05.2026,10031,10031,10031,10031,10031,10031
18.05.2026 - 29.05.2026,9613,9613,9613,9613,9613,9613
19.05.2026 - 30.05.2026,10062,10062,10062,10062,10062,10062
22.05.2026 - 02.06.2026,9396,9396,9396,9396,9396,9396
23.05.2026 - 03.06.2026,9877,9877,9877,9624,9624,9624
24.05.2026 - 04.06.2026,9499,9499,9499,9373,9373,9373
25.05.2026 - 05.06.2026,9525,9525,9525,9525,9525,9525
29.05.2026 - 09.06.2026,9749,9749,9749,9749,9749,9749
30.05.2026 - 10.06.2026,9697,9697,9697,9697,9697,9697
01.06.2026 - 12.06.2026,9234,9234,9234,9234,9234,9234
02.06.2026 - 13.06.2026,10063,10063,10063,10063,10063,10063
05.06.2026 - 16.06.2026,9290,9290,9290,9290,9290,9290
06.06.2026 - 17.06.2026,9624,9624,9624,9624,9750,9750
08.06.2026 - 19.06.2026,9420,9420,9420,9420,9420,9420
09.06.2026 - 20.06.2026,9199,9199,9199,9199,9199,9199
12.06.2026 - 23.06.2026,9956,9956,9956,9956,9956,9956
13.06.2026 - 24.06.2026,9497,9497,9497,9497,9497,9497
14.06.2026 - 25.06.2026,9414,9414,9414,9414,9414,9414
15.06.2026 - 26.06.2026,9291,9291,9291,9291,9291,9291
16.06.2026 - 27.06.2026,9318,9318,9318,9318,9318,9318
19.06.2026 - 30.06.2026,9549,9549,9549,9549,9549,9549
20.06.2026 - 01.07.2026,9497,9497,9497,9497,9497,9497
22.06.2026 - 03.07.2026,9935,9935,9935,9935,9935,9935
