,16.03.2025 22:29:03,17.03.2025 03:38:07,17.03.2025 21:20:43,18.03.2025 03:38:12,19.03.2025 03:37:31,20.03.2025 03:36:04,21.03.2025 03:38:05
27.03 - 08.04,,,7326,7326,7326,7426,7447
30.03 - 10.04,7176,7176,,,,,
03.04 - 15.04,,,7047,7047,7047,7126,7126
10.04 - 22.04,,,7247,7247,7247,7176,7176
13.04 - 24.04,7547,7547,,,,,
17.04 - 29.04,,,7447,7447,7447,7376,7376
20.04 - 01.05,7547,7547,,,,,
24.04 - 06.05,,,7997,7997,8076,8076,8076
25.04 - 06.05,10771,10771,,,,,
27.04 - 08.05,8526,8526,,,,,
28.04 - 09.05,10003,10003,,,,,
02.05 - 14.05,,,,,10526,9926,
09.05 - 21.05,,,,,,,10826
16.05 - 27.05,9163,9163,,,,,
16.05 - 28.05,,,11026,11026,10826,10826,10826
19.05 - 30.05,9748,9748,,,,,
23.05 - 03.06,9215,9215,,,,,
23.05 - 04.06,,,10626,10626,10326,10326,10326
26.05 - 06.06,12320,12320,,,,,
30.05 - 10.06,12277,12277,,,,,
02.06 - 13.06,10119,10119,,,,,
06.06 - 17.06,10217,10217,,,,,
06.06 - 18.06,,,10753,10753,10297,10297,10297
09.06 - 20.06,9981,9981,,,,,
13.06 - 24.06,8377,8377,,,,,
13.06 - 25.06,,,10414,10414,9903,9903,9903
16.06 - 27.06,10347,10347,,,,,
27.06 - 09.07,,,10176,10176,10176,10176,10176
04.07 - 15.07,10677,10677,,,,,
04.07 - 16.07,,,11238,11238,11449,11364,11364
11.07 - 23.07,,,10876,10876,10876,10876,10876
14.07 - 25.07,11297,11297,,,,,
18.07 - 30.07,,,11376,11376,11526,11526,11526
25.07 - 06.08,,,10947,10947,11147,11147,11147
01.08 - 13.08,,,10697,10697,10697,10997,10997
04.08 - 15.08,10676,10676,,,,,
08.08 - 20.08,,,10997,10997,10997,10657,10657
11.08 - 22.08,10607,10607,,,,,
15.08 - 26.08,9768,9768,,,,,
15.08 - 27.08,,,10976,10976,10976,10976,10976
18.08 - 29.08,10597,10597,,,,,
22.08 - 03.09,,,10401,10401,10401,9999,9999
29.08 - 10.09,,,10347,10347,10347,10547,10547
19.09 - 01.10,,,10826,10826,10826,10826,10826
26.09 - 08.10,,,11297,11297,,,
29.09 - 10.10,10813,10813,,,,,
03.10 - 14.10,10803,10803,,,,,
06.10 - 17.10,10667,10667,,,,,
20.10 - 31.10,10940,10940,,,,,
24.10 - 04.11,9670,9670,,,,,
24.10 - 05.11,,,10240,10240,10240,10240,10240
27.10 - 07.11,9573,9573,,,,,
31.10 - 12.11,,,9767,9767,9767,9767,9767
07.11 - 19.11,,,7047,7047,7047,7047,7047
10.11 - 21.11,7126,7126,,,,,
14.11 - 26.11,,,7057,7057,7057,7057,7057
17.11 - 28.11,6976,6976,,,,,
21.11 - 03.12,,,6847,6847,7226,7226,7226
24.11 - 05.12,6797,6797,,,,,
28.11 - 10.12,,,7047,7047,7047,7047,7126
20.02 - 04.03,,,6826,6826,6826,6826,6826
23.02 - 06.03,6776,6776,,,,,
27.02 - 11.03,,,6976,6976,6976,6897,6897
02.03 - 13.03,6947,6947,,,,,
06.03 - 18.03,,,6947,6947,6947,6947,6947
09.03 - 20.03,6857,6857,,,,,
13.03 - 25.03,,,7026,7026,7026,7026,7026
16.03 - 27.03,6876,6876,,,,,
20.03 - 01.04,,,7147,7147,7147,7147,7147
