,01.03.2026 21:28:05,01.03.2026 21:32:23,02.03.2026 04:49:05,03.03.2026 04:47:35,04.03.2026 04:41:08,05.03.2026 04:45:26,06.03.2026 04:42:51,07.03.2026 04:21:57,08.03.2026 04:43:46,09.03.2026 04:52:30,10.03.2026 04:42:51,11.03.2026 04:43:56,13.03.2026 04:45:07,14.03.2026 04:43:10,15.03.2026 05:06:39
25.04.2026 - 03.05.2026,6293,6293,6293,6293,6294,6294,6294,6294,6294,6294,6176,6535,6192,6392,6392
25.04.2026 - 10.05.2026,8162,8162,8162,8168,7865,7865,7865,7865,7865,7865,8071,8430,,,
02.05.2026 - 10.05.2026,5859,5859,5859,5859,5860,5860,5860,5860,5860,5860,5701,6001,5530,5587,5587
02.05.2026 - 17.05.2026,,,,,,,,,,,7651,,,,
09.05.2026 - 17.05.2026,5903,5903,5903,5909,5910,5910,5910,5910,5910,5910,5792,6092,5420,5477,5477
16.05.2026 - 24.05.2026,5641,5641,5641,6050,6051,6051,6051,6051,6051,6051,6051,6351,5820,5820,5820
23.05.2026 - 31.05.2026,5982,5982,5982,5982,5983,5983,5983,5983,5983,5983,5983,6283,6112,6112,6112
23.05.2026 - 07.06.2026,7764,7764,7764,7764,7784,7784,7784,7784,7784,7784,7784,8084,7911,7911,7911
30.05.2026 - 07.06.2026,6435,6435,6435,6449,6449,6449,6449,6449,6449,6449,6449,6749,6488,6488,6488
06.06.2026 - 14.06.2026,5569,5569,5569,5582,5583,5583,5583,5583,5583,5583,5583,5942,5671,5671,5671
06.06.2026 - 21.06.2026,7623,7623,7623,7636,,,,,,,,,,,
13.06.2026 - 21.06.2026,5603,5603,5603,5609,5610,5610,,,,,5610,5910,5639,5639,5639
13.06.2026 - 28.06.2026,7752,7752,7752,7758,7777,7777,,,,,,,,7805,7805
20.06.2026 - 28.06.2026,5865,5865,5865,5874,5875,5875,5875,5875,5875,5875,5875,6175,5902,5902,5902
20.06.2026 - 05.07.2026,8169,8169,8169,8209,8229,8229,8229,8229,8229,8229,8229,8529,8254,8254,8254
27.06.2026 - 05.07.2026,5794,5794,5794,5796,5796,5796,5796,5796,5796,5796,5796,6096,5836,5836,5836
27.06.2026 - 12.07.2026,8189,8189,8189,8191,8210,8210,8210,8210,8210,8210,8210,8510,8249,8249,8249
04.07.2026 - 12.07.2026,5912,5912,5912,5916,5916,5916,5916,5916,5916,5916,5916,6216,5947,5947,5947
04.07.2026 - 19.07.2026,8485,8485,8485,8488,8508,8508,8508,8508,8508,8508,8508,8808,8538,8538,8538
11.07.2026 - 19.07.2026,6101,6101,6101,6107,6108,6108,6108,6108,6108,6108,6108,6408,6139,6139,6139
11.07.2026 - 26.07.2026,8951,8951,8951,8957,8976,8976,8976,8976,8976,8976,8976,9276,9006,9006,9006
18.07.2026 - 26.07.2026,5912,5912,5912,5916,5916,5916,5916,5916,5916,5916,5916,6216,5947,5947,5947
18.07.2026 - 02.08.2026,8913,8913,8913,8917,8936,8936,8936,8936,8936,8936,8936,9236,8966,8966,8966
25.07.2026 - 02.08.2026,5812,5812,5812,5816,5816,5816,5816,5816,5816,5816,5816,6116,5847,5847,5847
25.07.2026 - 09.08.2026,8813,8813,8813,8817,8836,8836,8836,8836,8836,8836,8836,9136,8866,8866,8866
01.08.2026 - 09.08.2026,5949,5949,5949,5949,5950,5950,5950,5950,5950,5950,5950,6309,6108,6108,6108
01.08.2026 - 16.08.2026,8950,8950,8950,8950,8970,8970,8970,8970,8970,8970,8970,9329,9127,9127,9127
08.08.2026 - 16.08.2026,5618,5618,5618,5631,5631,5631,5631,5631,5631,5631,5631,5931,5662,5662,5662
08.08.2026 - 23.08.2026,8485,8485,8485,8498,8517,8517,8517,8517,8517,8517,8517,8817,8547,8547,8547
15.08.2026 - 23.08.2026,5690,5690,5690,5698,5699,5699,5699,5699,5699,5699,5699,5999,5730,5730,5730
15.08.2026 - 30.08.2026,8013,8013,8013,8062,8081,8081,8081,8081,8081,8081,8081,8381,8112,8112,8112
22.08.2026 - 30.08.2026,6187,6187,6187,6187,6188,6188,6188,6188,6188,6188,6188,6488,6218,6218,6218
22.08.2026 - 06.09.2026,8274,8274,8274,8276,8295,8295,8295,8295,8295,8295,8295,8595,8325,8325,8325
29.08.2026 - 06.09.2026,6255,6255,6255,6275,6276,6276,6276,6276,6276,6276,6276,6576,6293,6293,6293
29.08.2026 - 13.09.2026,7964,7964,7964,7984,8004,8004,8004,8004,8004,8004,8004,8304,8021,8021,8021
05.09.2026 - 13.09.2026,6427,6427,6427,6427,6428,6428,6428,6428,6428,6428,6428,6728,6458,6458,6458
05.09.2026 - 20.09.2026,8136,8136,8136,8135,8157,8157,8157,8157,8157,8157,8157,8457,8186,8186,8243
12.09.2026 - 20.09.2026,6588,6588,6588,6596,6597,6597,6597,6597,6597,6597,6597,6897,6627,6627,6627
12.09.2026 - 27.09.2026,8329,8329,8329,8360,8381,8381,8381,8381,8381,8381,8381,8681,8410,8410,8410
19.09.2026 - 27.09.2026,6390,6390,6390,6390,6390,6390,6390,6390,6390,6390,6390,6690,6407,6407,6407
19.09.2026 - 03.10.2026,8077,8077,8077,8077,8094,8094,8094,8094,8094,8094,,,,,
19.09.2026 - 04.10.2026,,,,,,,,,,,8097,8397,8113,8113,8113
26.09.2026 - 03.10.2026,5816,5816,5816,5820,5818,5818,5818,5818,5818,5818,,,,,
26.09.2026 - 04.10.2026,,,,,,,,,,,5821,6121,5850,5850,5850
