,01.03.2026 21:28:05,01.03.2026 21:32:23,02.03.2026 04:49:05,03.03.2026 04:47:35,04.03.2026 04:41:08,05.03.2026 04:45:26,06.03.2026 04:42:51,07.03.2026 04:21:57,08.03.2026 04:43:46,09.03.2026 04:52:30,10.03.2026 04:42:51,11.03.2026 04:43:56,13.03.2026 04:45:07,14.03.2026 04:43:10,15.03.2026 05:06:39,16.03.2026 05:16:47,17.03.2026 04:52:33,18.03.2026 04:57:22,19.03.2026 04:55:22,20.03.2026 04:47:59,21.03.2026 04:26:43,22.03.2026 04:53:07,22.03.2026 19:00:08,22.03.2026 19:25:39,23.03.2026 05:04:21,24.03.2026 04:54:14,25.03.2026 04:54:58
30.05.2026 - 06.06.2026,6374,6374,6374,6388,6386,6386,6386,6386,6386,6386,6386,6686,6424,6424,6424,6424,6424,6424,6424,6424,6424,6424,6424,6424,6424,6424,6424
06.06.2026 - 13.06.2026,5904,5904,5904,5917,5915,5915,5915,5915,5915,5915,5915,6275,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6062,6062
06.06.2026 - 20.06.2026,7958,7958,7958,7972,7988,,,,,,,,,,,,,,,,,,,,,,
13.06.2026 - 20.06.2026,5989,5989,5989,5996,5994,5994,5994,5994,5994,5994,5994,6294,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021,6021
20.06.2026 - 27.06.2026,6203,6203,6203,6213,6211,6211,6211,6211,6211,6211,6211,6511,6236,6236,6236,6236,6236,6236,6236,6236,6236,6236,6236,6236,6236,6236,6236
20.06.2026 - 04.07.2026,8507,8507,8507,8547,8565,8565,8565,8565,8565,8565,8565,8865,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589
27.06.2026 - 04.07.2026,6183,6183,6183,6184,6182,6182,6182,6182,6182,6182,6182,6482,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220,6220
27.06.2026 - 11.07.2026,8578,8578,8578,8580,8596,8596,8596,8596,8596,8596,8596,8896,8633,8633,8633,8633,8633,8633,8633,8633,8633,8633,8633,8633,8633,8633,8633
04.07.2026 - 11.07.2026,6151,6151,6151,6154,6152,6152,6152,6152,6152,6152,6152,6452,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182,6182
04.07.2026 - 18.07.2026,8723,8723,8723,8727,8744,8744,8744,8744,8744,8744,8744,9044,8772,8772,8772,8772,8772,8772,8772,8772,8772,8772,8772,8772,8772,8772,8772
11.07.2026 - 18.07.2026,6139,6139,6139,6145,6143,6143,6143,6143,6143,6143,6143,6443,6173,6173,6173,6173,6173,6173,6173,6173,6173,6173,6173,6173,6173,6173,6173
