,01.03.2026 21:28:16,01.03.2026 21:32:35,02.03.2026 04:49:15,03.03.2026 04:47:45,04.03.2026 04:41:18,05.03.2026 04:45:36,06.03.2026 04:43:01,07.03.2026 04:22:07,08.03.2026 04:43:56,09.03.2026 04:52:40,10.03.2026 04:43:00,11.03.2026 04:44:06,13.03.2026 04:45:17,14.03.2026 04:43:20,15.03.2026 05:06:49,16.03.2026 05:16:57,17.03.2026 04:52:43,18.03.2026 04:57:32,19.03.2026 04:55:32,20.03.2026 04:48:10,21.03.2026 04:26:53,22.03.2026 04:53:18,22.03.2026 19:00:19,22.03.2026 19:25:46,23.03.2026 05:04:31,24.03.2026 04:54:25,25.03.2026 04:55:08,26.03.2026 05:07:40,27.03.2026 05:08:17,28.03.2026 04:53:53,29.03.2026 05:11:41,30.03.2026 05:26:26,31.03.2026 05:10:12,01.04.2026 05:25:51,02.04.2026 05:04:12,03.04.2026 05:05:46,04.04.2026 04:51:06,05.04.2026 05:13:11,06.04.2026 05:25:47,07.04.2026 05:10:22,08.04.2026 05:12:22,09.04.2026 05:10:44,10.04.2026 05:26:26,11.04.2026 04:56:47,12.04.2026 05:24:55,13.04.2026 05:43:15,14.04.2026 05:25:02,15.04.2026 05:25:26,16.04.2026 05:31:55,17.04.2026 05:29:24,18.04.2026 05:07:49,19.04.2026 05:30:21,20.04.2026 05:42:58,21.04.2026 05:28:17,22.04.2026 05:27:01,23.04.2026 05:31:41,24.04.2026 05:36:33
30.05.2026 - 06.06.2026,5264,5264,5264,5275,5273,5273,5273,5273,5273,5273,5273,5573,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5359,5359,5359,5359,5359,5109,5109,4911,4711,4911,4911,4663,4466,4663,4762,4762,4762,4959,4959,4811,4713,4713,4713,4713,4566,4616,4665,4665
06.06.2026 - 13.06.2026,4901,4901,4901,4912,4910,4910,4910,4910,4910,4910,4910,5260,5034,5034,5034,5034,5034,5034,5034,5034,5034,5034,5034,5034,5034,5083,5083,5083,5083,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5086,5063,5063,5112,5112,5112,5112,5112,5112,5112,5112,5112
13.06.2026 - 20.06.2026,4955,4955,4955,4960,4958,4958,4958,4958,4958,4958,4958,5258,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5032,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5035,5062,5062,5062,5062,5062,5062,5062,5062,5062,5062,5062
20.06.2026 - 27.06.2026,5130,5130,5130,5138,5136,5136,5136,5136,5136,5136,5136,5436,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5211,5211,5278,5278,5278,5278,5278,5278,5278,5278,5278,5278,5159,5159,5159,5159,5159,5238,5238,5238,5238,5238,5238,5238,4959,4959,4959,4959
20.06.2026 - 04.07.2026,6727,6727,6727,6756,6773,6773,6773,6773,6773,6773,6773,7073,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6844,6847,6847,6914,6914,6914,6914,6914,6914,6914,6914,6914,6914,6794,6794,6794,6794,6794,6874,6874,6874,6874,6874,6874,6874,6594,6594,6594,6594
27.06.2026 - 04.07.2026,5127,5127,5127,5128,5126,5126,5126,5126,5126,5126,5126,5426,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5211,5211,5211,5211,5211,5211,5211,5211,5211,5211,5211,5211,4860,4910,4910,4910,4910,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989
27.06.2026 - 11.07.2026,6907,6907,6907,6908,6925,6925,6925,6925,6925,6925,6925,7225,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7006,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,7009,6657,6706,6706,6706,6706,6787,6787,6787,6787,6787,6787,6787,6787,6787,6787,6787
04.07.2026 - 11.07.2026,5104,5104,5104,5107,5105,5105,5105,5105,5105,5105,5105,5405,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5182,5182,5182,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5256,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355,5355
04.07.2026 - 18.07.2026,6875,6875,6875,6878,6895,6895,6895,6895,6895,6895,6895,7195,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6971,6971,6971,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7046,7145,7145,7145,7145,7145,7145,7145,7145,7145,7145,7145
11.07.2026 - 18.07.2026,5103,5103,5103,5108,5106,5106,5106,5106,5106,5106,5106,5406,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5180,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183,5183
