,01.03.2026 21:28:05,01.03.2026 21:32:23,02.03.2026 04:49:05,03.03.2026 04:47:35,04.03.2026 04:41:08,05.03.2026 04:45:26,06.03.2026 04:42:51,07.03.2026 04:21:57,08.03.2026 04:43:46,09.03.2026 04:52:30,10.03.2026 04:42:51,11.03.2026 04:43:56,13.03.2026 04:45:07,14.03.2026 04:43:10,15.03.2026 05:06:39,16.03.2026 05:16:47,17.03.2026 04:52:33,18.03.2026 04:57:22,19.03.2026 04:55:22,20.03.2026 04:47:59,21.03.2026 04:26:43,22.03.2026 04:53:07,22.03.2026 19:00:08,22.03.2026 19:25:39,23.03.2026 05:04:21,24.03.2026 04:54:14,25.03.2026 04:54:58,26.03.2026 05:07:30,27.03.2026 05:08:07,28.03.2026 04:53:44,29.03.2026 05:11:31,30.03.2026 05:26:16,31.03.2026 05:10:02,01.04.2026 05:25:40,02.04.2026 05:04:02,03.04.2026 05:05:36,04.04.2026 04:50:55,05.04.2026 05:13:01
25.04.2026 - 02.05.2026,6312,6312,6312,6312,6310,6310,6310,6310,6310,6310,6190,6550,6405,6405,6405,6405,6405,6405,6625,6685,6685,6685,6685,6685,6685,6804,6804,6454,6235,5878,5878,5878,5455,5276,5785,5785,5385,5385
25.04.2026 - 09.05.2026,8180,8180,8180,8186,7880,7880,7880,7880,7880,7880,8084,8444,8327,8327,8327,8327,8302,8302,8521,8581,8581,8581,8581,8581,8581,8725,8725,8375,8156,7801,7801,7801,7380,7348,7927,7927,7527,7527
02.05.2026 - 09.05.2026,6065,6065,6065,6065,6063,6063,6063,6063,6063,6063,6003,6303,5828,5682,5682,5682,5882,5942,5942,5942,5942,5942,5942,5942,5942,5942,6002,6102,6102,5865,5865,5865,5561,5561,5621,5742,5742,5592
02.05.2026 - 16.05.2026,7996,7996,7996,7996,7661,7661,7661,7661,7661,7661,7952,8252,7777,7631,7631,7631,7831,7892,7892,7892,7892,7892,7892,7892,7892,7892,7952,8052,8052,7814,7814,7814,7510,7727,7787,7907,7907,7757
09.05.2026 - 16.05.2026,5806,5806,5806,5813,5811,5811,5811,5811,5811,5811,5691,5991,5965,5819,5819,5819,5819,5819,5819,5819,5869,5869,5869,5869,5869,5869,5869,5508,5508,5149,5149,5149,5149,5149,5688,5990,5990,5990
09.05.2026 - 23.05.2026,7745,7745,7745,7752,7434,7434,7434,7434,7434,7434,7648,7948,7921,7775,7775,7775,7775,7775,7775,7775,7825,7825,7825,7825,7825,7825,7825,7462,7462,7102,7102,7102,7102,,,,,
16.05.2026 - 23.05.2026,6143,6143,6143,5753,5751,5751,5751,5751,5751,5751,5751,6051,5715,5715,5715,5715,5715,5715,5715,5715,5715,5715,5715,5715,5715,5915,5915,5915,5915,5918,5918,5918,5918,5918,5918,,,
23.05.2026 - 30.05.2026,6389,6389,6389,6390,6388,6388,6388,6388,6388,6388,6388,6688,6412,6412,6412,6412,6412,6412,6412,6412,6412,6412,6412,6412,6412,6206,6206,5965,5965,5968,5968,5968,5725,,,,,
30.05.2026 - 06.06.2026,6150,6150,6150,6165,6162,6162,6162,6162,6162,6162,6162,6462,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6547,6547,6550,6550,6550,6550,6550,6245,6245,6005,5805
06.06.2026 - 13.06.2026,5771,5771,5771,5785,5783,5783,5783,5783,5783,5783,5783,6143,5867,5867,5867,5867,5867,5867,5867,5867,5867,5867,5867,5867,5867,5928,5928,5928,5928,5931,5931,5931,5931,5931,5931,5931,5931,5931
13.06.2026 - 20.06.2026,6059,6059,6059,6065,6063,6063,6063,6063,6063,6063,6063,6363,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6088,6091,6091,6091,6091,6091,6091,6091,6091,6091
13.06.2026 - 27.06.2026,8208,8208,,,,,,8231,8231,8231,8231,8531,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8254,8257,8257,8257,8257,8257,8257,8257,8257,8257
20.06.2026 - 27.06.2026,6127,6127,6127,6136,6134,6134,6134,6134,6134,6134,6134,6434,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6157,6160,6160,6241,6241,6241,6241,6241,6241,6241
20.06.2026 - 04.07.2026,8431,8431,8431,8471,8488,8488,8488,8488,8488,8488,8488,8788,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8509,8512,8512,8594,8594,8594,8594,8594,8594,8594
27.06.2026 - 04.07.2026,6306,6306,6306,6308,6306,6306,6306,6306,6306,6306,6306,6606,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6341,6344,6344,6344,6344,6344,6344,6344,6344,6344
27.06.2026 - 11.07.2026,8702,8702,8702,8703,8720,8720,8720,8720,8720,8720,8720,9020,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8754,8757,8757,8757,8757,8757,8757,8757,8757,8757
04.07.2026 - 11.07.2026,6124,6124,6124,6128,6126,6126,6126,6126,6126,6126,6126,6426,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6152,6155,6155,6155,6245,6245,6245,6245,6245,6245
04.07.2026 - 18.07.2026,8697,8697,8697,8701,8717,8717,8717,8717,8717,8717,8717,9017,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8743,8746,8746,8746,8836,8836,8836,8836,8836,8836
11.07.2026 - 18.07.2026,6062,6062,6062,6068,6066,6066,6066,6066,6066,6066,6066,6366,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6092,6095,6095,6095,6095,6095,6095,6095,6095,6095
11.07.2026 - 25.07.2026,8912,8912,8912,8918,8935,8935,8935,8935,8935,8935,8935,9235,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8960,8963,8963,8963,8963,8963,8963,8963,8963,8963
18.07.2026 - 25.07.2026,5974,5974,5974,5978,5976,5976,5976,5976,5976,5976,5976,6276,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6005,6005,6005,6005,6005,6005,6005,6005,6005
18.07.2026 - 01.08.2026,8975,8975,8975,8979,8996,8996,8996,8996,8996,8996,8996,9296,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9024,9024,9024,9024,9024,9024,9024,9024,9024
25.07.2026 - 01.08.2026,5974,5974,5974,5978,5976,5976,5976,5976,5976,5976,5976,6276,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6002,6005,6005,6005,6005,6005,6005,6005,6005,6005
25.07.2026 - 08.08.2026,8975,8975,8975,8979,8996,8996,8996,8996,8996,8996,8996,9296,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9021,9024,9024,9024,9024,9024,9024,9024,9024,9024
01.08.2026 - 08.08.2026,6013,6013,6013,6013,6011,6011,6011,6011,6011,6011,6011,6370,6166,6166,6166,6166,6166,6166,6166,6166,6166,6166,6166,6166,6166,6166,6166,6366,6366,6369,6369,6369,6369,6369,6369,6369,6369,6369
01.08.2026 - 15.08.2026,9014,9014,9014,9014,9031,9031,9031,9031,9031,9031,9031,9391,9186,9186,9186,9186,9186,9186,9186,9186,9186,9186,9186,9186,9186,9186,9186,9386,9386,9389,9389,9389,9389,9389,9389,9389,9389,9389
08.08.2026 - 15.08.2026,5726,5726,5726,5739,5737,5737,5737,5737,5737,5737,5737,6037,5763,5763,5763,5763,5823,5823,5823,5823,5823,5823,5823,5823,5823,5823,5823,5823,5823,5826,5826,5826,5826,5826,5826,5826,5826,5826
08.08.2026 - 22.08.2026,8593,8593,8593,8606,8622,8622,8622,8622,8622,8622,8622,8922,8648,8648,8648,8648,8708,8708,8708,8708,8708,8708,8708,8708,8708,8708,8708,8708,8708,8711,8711,8711,8711,8711,8711,8711,8711,8711
15.08.2026 - 22.08.2026,5850,5850,5850,5858,5856,5856,5856,5856,5856,5856,5856,6156,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5882,5886,5886,5886,5886,5886,5886,5886,5886,5886
15.08.2026 - 29.08.2026,8172,8172,8172,8222,8238,8238,8238,8238,8238,8238,8238,8538,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8264,8267,8267,8267,8267,8267,8267,8267,8267,8267
22.08.2026 - 29.08.2026,6198,6198,6198,6198,6196,6196,6196,6196,6196,6196,6196,6496,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6222,6225,6225,6225,6225,6225,6225,6225,6225,6225
22.08.2026 - 05.09.2026,8285,8285,8285,8287,8304,8304,8304,8304,8304,8304,8304,8604,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8329,8332,8332,8332,8332,8332,8332,8332,8332,8332
29.08.2026 - 05.09.2026,6117,6117,6117,6137,6135,6135,6135,6135,6135,6135,6135,6435,6148,6148,6148,6148,6148,6148,6148,6148,6148,6148,6148,6148,6148,6148,6148,6298,6298,6301,6301,6301,6301,6301,6301,6301,6301,6301
29.08.2026 - 12.09.2026,7826,7826,7826,7846,7863,7863,7863,7863,7863,7863,7863,8163,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,7875,8025,8025,8028,8028,8028,8028,8028,8028,8028,8028,8028
