,01.03.2026 21:28:16,01.03.2026 21:32:35,02.03.2026 04:49:15,03.03.2026 04:47:45,04.03.2026 04:41:18,05.03.2026 04:45:36,06.03.2026 04:43:01,07.03.2026 04:22:07,08.03.2026 04:43:56,09.03.2026 04:52:40,10.03.2026 04:43:00
25.04.2026 - 02.05.2026,5201,5201,5201,5201,5199,5199,5199,5199,5199,5199,5099
25.04.2026 - 09.05.2026,6247,6247,6247,6253,6120,6120,6120,6120,6120,6120,6202
02.05.2026 - 09.05.2026,5030,5030,5030,5030,5028,5028,5028,5028,5028,5028,4978
02.05.2026 - 16.05.2026,6183,6183,6183,6183,5978,5978,5978,5978,5978,5978,
09.05.2026 - 16.05.2026,4774,4774,4774,4780,4778,4778,4778,4778,4778,4778,4678
09.05.2026 - 23.05.2026,5869,5869,5869,5880,5747,5747,5747,5747,5747,5747,5796
16.05.2026 - 23.05.2026,5122,5122,5122,4730,4728,4728,4728,4728,4728,4728,4728
23.05.2026 - 30.05.2026,5329,5329,5329,5330,5328,5328,5328,5328,5328,5328,5328
30.05.2026 - 06.06.2026,5040,5040,5040,5052,5049,5049,5049,5049,5049,5049,5049
06.06.2026 - 13.06.2026,4768,4768,4768,4780,4778,4778,4778,4778,4778,4778,4778
13.06.2026 - 20.06.2026,5024,5024,5024,5030,5028,5028,5028,5028,5028,5028,5028
13.06.2026 - 27.06.2026,6568,6568,,,,,,6595,6595,6595,6595
20.06.2026 - 27.06.2026,5054,5054,5054,5062,5059,5059,5059,5059,5059,5059,5059
20.06.2026 - 04.07.2026,6651,6651,6651,6680,6697,6697,6697,6697,6697,6697,6697
27.06.2026 - 04.07.2026,5250,5250,5250,5251,5249,5249,5249,5249,5249,5249,5249
27.06.2026 - 11.07.2026,7030,7030,7030,7031,7048,7048,7048,7048,7048,7048,7048
04.07.2026 - 11.07.2026,5077,5077,5077,5080,5078,5078,5078,5078,5078,5078,5078
04.07.2026 - 18.07.2026,6848,6848,6848,6851,6868,6868,6868,6868,6868,6868,6868
11.07.2026 - 18.07.2026,5026,5026,5026,5030,5028,5028,5028,5028,5028,5028,5028
11.07.2026 - 25.07.2026,6926,6926,6926,6930,6947,6947,6947,6947,6947,6947,6947
18.07.2026 - 25.07.2026,4927,4927,4927,4930,4928,4928,4928,4928,4928,4928,4928
18.07.2026 - 01.08.2026,7027,7027,7027,7030,7046,7046,7046,7046,7046,7046,7046
25.07.2026 - 01.08.2026,4927,4927,4927,4930,4928,4928,4928,4928,4928,4928,4928
25.07.2026 - 08.08.2026,7027,7027,7027,7030,7046,7046,7046,7046,7046,7046,7046
01.08.2026 - 08.08.2026,4951,4951,4951,4951,4949,4949,4949,4949,4949,4949,4949
01.08.2026 - 15.08.2026,7131,7131,7131,7151,7167,7167,7167,7167,7167,7167,7167
08.08.2026 - 15.08.2026,4720,4720,4720,4730,4728,4728,4728,4728,4728,4728,4728
08.08.2026 - 22.08.2026,6719,6719,6719,6730,6746,6746,6746,6746,6746,6746,6746
15.08.2026 - 22.08.2026,4824,4824,4824,4830,4828,4828,4828,4828,4828,4828,4828
15.08.2026 - 29.08.2026,6270,6270,6270,6303,6320,6320,6320,6320,6320,6320,6320
22.08.2026 - 29.08.2026,5130,5130,5130,5130,5128,5128,5128,5128,5128,5128,5128
22.08.2026 - 05.09.2026,6489,6489,6489,6492,6509,6509,6509,6509,6509,6509,6509
29.08.2026 - 05.09.2026,5034,5034,5034,5051,5049,5049,5049,5049,5049,5049,5049
29.08.2026 - 12.09.2026,,,,,,,6190,6190,6190,6190,6190
05.09.2026 - 12.09.2026,5581,5581,5581,5580,5578,5578,5578,5578,5578,5578,5578
05.09.2026 - 19.09.2026,6620,6620,6620,6619,6638,6638,6638,6638,6638,6638,6638
12.09.2026 - 19.09.2026,5374,5374,5374,5380,5378,5378,5378,5378,5378,5378,5378
19.09.2026 - 26.09.2026,5202,5202,5202,5202,5199,5199,5199,5199,5199,5199,5199
19.09.2026 - 03.10.2026,6389,6389,6389,6392,6409,6409,6409,6409,6409,6409,6409
26.09.2026 - 03.10.2026,4727,4727,4727,4731,4729,4729,4729,4729,4729,4729,4729
06.11.2026 - 13.11.2026,5257,5257,5260,5260,5260,5260,5260,5260,5260,5260,5260
20.11.2026 - 27.11.2026,5257,5257,5260,5260,5260,5260,5260,5260,5260,5260,5260
15.01.2027 - 22.01.2027,5454,5454,5457,5457,5457,5457,5457,5457,5457,5457,5457
12.02.2027 - 19.02.2027,5454,5454,5457,5457,5457,5457,5457,5457,5457,5457,5457
26.02.2027 - 05.03.2027,5257,5257,5260,5260,5260,5260,5260,5260,5260,5260,5260
05.03.2027 - 12.03.2027,5257,5257,5260,5260,5260,5260,5260,5260,5260,5260,5260
19.03.2027 - 26.03.2027,5354,5354,5357,5357,5357,5357,5357,5357,5357,5357,5357
