,01.03.2026 21:28:05,01.03.2026 21:32:23,02.03.2026 04:49:05,03.03.2026 04:47:35,04.03.2026 04:41:08,05.03.2026 04:45:26,06.03.2026 04:42:51,07.03.2026 04:21:57,08.03.2026 04:43:46,09.03.2026 04:52:30,10.03.2026 04:42:51,11.03.2026 04:43:56,13.03.2026 04:45:07,14.03.2026 04:43:10,15.03.2026 05:06:39,16.03.2026 05:16:47,17.03.2026 04:52:33,18.03.2026 04:57:22,19.03.2026 04:55:22,20.03.2026 04:47:59
23.05.2026 - 30.05.2026,6492,6492,6492,6493,6491,6491,6491,6491,6491,6491,6491,6791,6493,6493,6493,6493,6493,6493,6493,6493
23.05.2026 - 06.06.2026,8277,8277,8277,8278,8294,8294,8294,8294,8294,8294,8294,8594,8295,8295,8295,8295,8295,8295,8295,8295
30.05.2026 - 06.06.2026,6405,6405,6405,6419,6417,6417,6417,6417,6417,6417,6417,6717,6449,6449,6449,6449,6449,6449,6449,6449
30.05.2026 - 13.06.2026,8268,8268,8268,8283,8300,8300,8300,8300,8300,8300,8300,8600,8333,8333,8333,8333,8333,8333,8333,8333
06.06.2026 - 13.06.2026,5869,5869,5869,5883,5881,5881,5881,5881,5881,5881,5881,6242,5964,5964,5964,5964,5964,5964,5964,5964
06.06.2026 - 20.06.2026,7924,7924,7924,7937,7953,7953,7953,7953,7953,7953,7953,8314,8036,8036,8036,8036,8036,8036,8036,8036
13.06.2026 - 20.06.2026,6058,6058,6058,6065,6063,6063,6063,6063,6063,6063,6063,6363,6085,6085,6085,6085,6085,6085,6085,6085
20.06.2026 - 27.06.2026,6079,6079,6079,6089,6087,6087,6087,6087,6087,6087,6087,6387,6107,6107,6107,6107,6107,6107,6107,6107
20.06.2026 - 04.07.2026,8385,8385,8385,8425,8442,8442,8442,8442,8442,8442,8442,8742,8461,8461,8461,8461,8461,8461,8461,8461
27.06.2026 - 04.07.2026,6059,6059,6059,6061,6059,6059,6059,6059,6059,6059,6059,6359,6092,6092,6092,6092,6092,6092,6092,6092
27.06.2026 - 11.07.2026,8455,8455,8455,8457,8474,8474,8474,8474,8474,8474,8474,8774,8505,8505,8505,8505,8505,8505,8505,8505
04.07.2026 - 11.07.2026,5977,5977,5977,5981,5979,5979,5979,5979,5979,5979,5979,6279,6003,6003,6003,6003,6003,6003,6003,6003
