,01.03.2026 21:28:16,01.03.2026 21:32:35,02.03.2026 04:49:15,03.03.2026 04:47:45,04.03.2026 04:41:18,05.03.2026 04:45:36,06.03.2026 04:43:01,07.03.2026 04:22:07,08.03.2026 04:43:56,09.03.2026 04:52:40,10.03.2026 04:43:00,11.03.2026 04:44:06,13.03.2026 04:45:17,14.03.2026 04:43:20,15.03.2026 05:06:49,16.03.2026 05:16:57,17.03.2026 04:52:43,18.03.2026 04:57:32,19.03.2026 04:55:32,20.03.2026 04:48:10,21.03.2026 04:26:53,22.03.2026 04:53:18,22.03.2026 19:00:19,22.03.2026 19:25:46,23.03.2026 05:04:31,24.03.2026 04:54:25,25.03.2026 04:55:08,26.03.2026 05:07:40,27.03.2026 05:08:17,28.03.2026 04:53:53,29.03.2026 05:11:41,30.03.2026 05:26:26,31.03.2026 05:10:12,01.04.2026 05:25:51,02.04.2026 05:04:12,03.04.2026 05:05:46,04.04.2026 04:51:06,05.04.2026 05:13:11,06.04.2026 05:25:47,07.04.2026 05:10:22,08.04.2026 05:12:22,09.04.2026 05:10:44,10.04.2026 05:26:26,11.04.2026 04:56:47,12.04.2026 05:24:55
23.05.2026 - 30.05.2026,5432,5432,5432,5433,5431,5431,5431,5431,5431,5431,5431,5731,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5292,5292,5073,5073,5080,5080,5080,4858,4858,4968,5077,5077,5077,5077,5077,5077,5132,5297,5297,5297
23.05.2026 - 06.06.2026,6632,6632,6632,6633,6650,6650,6650,6650,6650,6650,6650,6950,6696,6696,6696,6696,6696,6696,6696,6696,6696,6696,6696,6696,6696,6507,6507,6286,6286,6293,6293,6293,6069,6069,6180,6291,6291,6291,6291,6291,6470,6346,6512,6512,6512
30.05.2026 - 06.06.2026,5294,5294,5294,5306,5304,5304,5304,5304,5304,5304,5304,5604,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5381,5389,5389,5389,5389,5389,5132,5132,4930,4730,4930,4930,4879,4677,4879,4980,4980
30.05.2026 - 13.06.2026,6494,6494,6494,6506,6524,6524,6524,6524,6524,6524,6524,6824,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6601,6608,6608,6608,6608,6608,6352,6352,6150,5950,6150,6150,6098,5896,6098,6199,6199
06.06.2026 - 13.06.2026,4867,4867,4867,4878,4876,4876,4876,4876,4876,4876,4876,5227,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,4995,5046,5046,5046,5046,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053,5053
06.06.2026 - 20.06.2026,6087,6087,6087,6099,6115,6115,6115,6115,6115,6115,6115,6465,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6233,6284,6284,6284,6284,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291,6291
13.06.2026 - 20.06.2026,5024,5024,5024,5029,5027,5027,5027,5027,5027,5027,5027,5327,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5096,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104,5104
20.06.2026 - 27.06.2026,5006,5006,5006,5014,5012,5012,5012,5012,5012,5012,5012,5312,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5087,5087,5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,5032,5032,5032,5032
20.06.2026 - 04.07.2026,6605,6605,6605,6634,6651,6651,6651,6651,6651,6651,6651,6951,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6724,6724,6793,6793,6793,6793,6793,6793,6793,6793,6793,6793,6669,6669,6669,6669
27.06.2026 - 04.07.2026,5003,5003,5003,5004,5002,5002,5002,5002,5002,5002,5002,5302,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5079,5087,5087,5087,5087,5087,5087,5087,5087,5087,5087,5087,5087,4881,4931,4931,4931
