,07.02.2025 21:16:25,08.02.2025 03:23:02,09.02.2025 03:25:25,10.02.2025 03:26:52,11.02.2025 03:25:36
03.05 - 10.05,5243,5243,5243,5243,5206
10.05 - 17.05,5085,5085,5085,5085,5085
17.05 - 24.05,5268,5268,5326,5326,5326
24.05 - 31.05,4985,4985,4985,4985,5044
31.05 - 07.06,4987,4987,4987,4987,5046
07.06 - 14.06,6082,6082,6082,6082,6082
14.06 - 21.06,5933,5933,5933,5933,6073
21.06 - 28.06,5120,5120,5120,5120,5120
28.06 - 05.07,5564,5564,5564,5564,5564
05.07 - 12.07,5498,5498,5498,5498,5452
12.07 - 19.07,5247,5247,5247,5247,5247
19.07 - 26.07,5418,5418,5418,5418,5418
26.07 - 02.08,5535,5535,5535,5535,5535
02.08 - 09.08,5631,5631,5631,5631,5710
09.08 - 16.08,5861,5861,5918,5918,5929
16.08 - 23.08,4930,4930,4930,4930,4989
23.08 - 30.08,4937,4937,4937,4937,4996
30.08 - 06.09,4833,4833,4833,4833,4892
06.09 - 13.09,5087,5087,5087,5087,5087
13.09 - 20.09,5305,5305,5305,5305,5387
20.09 - 27.09,5361,5361,5361,5361,5445
27.09 - 04.10,5190,5190,5190,5190,5271
