,27.09.2025 21:06:33,27.09.2025 21:37:09
30.10 - 13.11,8726,8726
06.11 - 20.11,9676,9676
27.11 - 11.12,9026,9026
04.12 - 18.12,8697,8697
11.12 - 25.12,8462,8462
19.12 - 02.01,9527,9527
25.12 - 08.01,10391,10391
02.01 - 16.01,9076,9076
08.01 - 22.01,8376,8376
15.01 - 29.01,8676,8676
22.01 - 05.02,8547,8547
25.01 - 02.01,9527,9527
25.01 - 08.01,10391,10391
29.01 - 12.02,9076,9076
05.02 - 19.02,9047,9047
12.02 - 26.02,8826,8826
19.02 - 05.03,8847,8847
26.02 - 12.03,8776,8776
05.03 - 19.03,8576,8576
12.03 - 26.03,8576,8576
19.03 - 02.04,8247,8247
26.03 - 09.04,8497,8497
09.04 - 23.04,8347,8347
23.04 - 07.05,8298,8298
