,19.02.2025 22:13:36,20.02.2025 03:27:43,21.02.2025 03:28:10,22.02.2025 03:25:33,23.02.2025 03:28:52,24.02.2025 03:31:02,25.02.2025 03:30:32,26.02.2025 03:30:17,27.02.2025 03:30:34,27.02.2025 23:27:38,28.02.2025 03:30:38,01.03.2025 03:34:21,02.03.2025 03:31:25,03.03.2025 03:32:38,04.03.2025 03:33:14,05.03.2025 03:31:06,12.03.2025 03:32:53,13.03.2025 03:34:12,14.03.2025 03:33:23,15.03.2025 03:30:36,16.03.2025 03:36:19,16.03.2025 22:26:13,17.03.2025 03:35:17,17.03.2025 21:17:35,18.03.2025 03:34:54,19.03.2025 03:34:25,20.03.2025 03:33:12,21.03.2025 03:35:11,22.03.2025 03:36:45
26.03 - 09.04,,,,,,,,,,,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324,8324
27.03 - 10.04,9526,9526,9376,8926,8526,8926,8726,8226,8526,8676,8676,8676,8376,8676,8476,8476,7926,7626,7326,6726,6726,6726,,6976,6976,7976,7926,7926,7626
09.04 - 23.04,,,,,,,,,,,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,,,,8175,8175,8175,8175,8175,8175
10.04 - 24.04,8326,8326,8126,7976,7676,7976,7976,7976,7976,7726,7726,7726,7426,7726,7426,7426,8226,8226,8226,8226,,,,8176,8176,7676,8076,7776,7476
23.04 - 07.05,,,,,,,,,,,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524
24.04 - 08.05,7926,7926,8076,8376,8526,8526,8726,8576,8576,8426,8426,8426,8126,8426,8126,8126,8876,8876,8876,8726,8326,8326,8726,8726,8726,8526,8526,8526,8026
02.10 - 16.10,,,,,,,,,,,8357,8357,8357,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356,8356
09.10 - 23.10,,,,,,,,,,,,8357,8357,8357,8357,8357,8357,8357,8357,8357,,,,8357,8357,8357,8357,8357,8357
23.10 - 06.11,,,,,,,,,,,,8436,8436,8436,8436,8436,8436,8436,8436,8436,,,,8436,8436,8436,8436,8436,8436
30.10 - 13.11,,,,,,,,,,,8507,8507,8507,8507,8507,8507,8507,8507,8507,8507,,,,8507,8507,8507,8507,8507,8507
06.11 - 20.11,,,,,,,,,,,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8524,8526,8626,8626,8626
27.11 - 11.12,,,,,,,,,,,,8175,8276,8276,8276,8276,8176,8176,8176,8176,,,,8176,8176,8176,8176,8176,8176
04.12 - 18.12,,,,,,,,,,,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175
11.12 - 25.12,,,,,,,,,,,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589
19.12 - 02.01,,,,,,,,,,,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054,9054
25.12 - 08.01,,,,,,,,,,,8789,8789,8789,8789,8789,8789,8891,8891,8991,8891,8891,8891,8891,8891,8891,8891,8891,8891,8791
02.01 - 16.01,,,,,,,,,,,8324,8324,8324,8324,8324,8324,8426,8426,8426,8426,,,,8426,8426,8426,8426,8426,8426
08.01 - 22.01,,,,,,,,,,,,8376,8376,8376,8376,8376,8476,8476,8476,8476,8376,8376,8376,8376,8376,8376,8376,8376,8376
15.01 - 29.01,,,,,,,,,,,8424,8526,8526,8526,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426
22.01 - 05.02,,,,,,,,,,,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424,8424
29.01 - 12.02,,,,,,,,,,,8424,8424,8424,8424,8424,8424,8526,8526,8526,8526,8526,8526,8526,8526,8526,8526,8526,8526,8526
05.02 - 19.02,,,,,,,,,,,8424,8526,8526,8526,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426,8426
12.02 - 26.02,,,,,,,,,,,8424,8424,8526,8526,8626,8626,8726,8726,8697,8697,8697,8697,8697,8697,8697,8697,8697,8697,8697
19.02 - 05.03,,,,,,,,,,,8324,8324,8426,8526,8526,8526,8626,8626,8697,8697,8697,8697,8697,8697,8697,8697,8697,8697,8697
26.02 - 12.03,,,,,,,,,,,,8324,8324,8324,8324,8324,8324,8324,8324,8324,,,,8324,8324,8324,8324,8324,8324
27.02 - 13.03,,,8726,8726,8526,8726,,,,,,,,,,,,,,,,,,,,,,,
05.03 - 19.03,,,,,,,,,,,8175,8175,8175,8175,8175,8175,8176,8176,8176,8176,8176,8176,8176,8176,8176,8176,8176,8176,8176
06.03 - 20.03,9726,9726,9226,9726,9526,9726,9726,10027,9726,9126,9126,9126,9126,8926,,,,,,,,,,,,,,,
12.03 - 26.03,,,,,,,,,,,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175,8175
19.03 - 02.04,,,,,,,,,,,,8175,8175,8175,8175,8175,8175,8175,8175,8175,,,,8175,8175,8175,8175,8175,8175
20.03 - 03.04,9026,9026,8026,8726,8076,8376,8726,8426,8426,8126,8126,8126,7726,8126,7526,7526,7747,7747,8497,8626,8626,8626,8626,8626,8626,,,,
