,28.09.2025 19:59:51,28.09.2025 21:44:10,29.09.2025 03:41:48,30.09.2025 03:35:46,01.10.2025 03:45:28,02.10.2025 03:33:45,03.10.2025 03:33:46,04.10.2025 03:30:13,05.10.2025 03:39:15
07.11.2025 - 21.11.2025,9923,9923,9923,9804,9804,9685,9685,9923,9923
21.11.2025 - 05.12.2025,9566,9566,9566,9804,9804,9446,9446,9208,9208
28.11.2025 - 12.12.2025,8824,8824,8824,8824,8824,8706,8706,8706,8706
05.12.2025 - 19.12.2025,8791,8791,8791,8791,8791,8791,8791,8791,8791
19.12.2025 - 02.01.2026,9798,9798,9798,9798,9798,9798,9798,9917,10036
26.12.2025 - 09.01.2026,9592,9592,9592,9592,9711,9711,9831,9831,9831
02.01.2026 - 16.01.2026,8908,8908,8908,8908,8908,8908,8908,8908,8908
09.01.2026 - 23.01.2026,8969,8969,8969,8969,8969,8969,8969,8969,8969
16.01.2026 - 30.01.2026,9029,9029,9029,9029,9029,9029,9029,9029,9029
23.01.2026 - 06.02.2026,8671,8671,8671,8671,8671,8671,8671,8671,8671
30.01.2026 - 13.02.2026,9327,9327,9327,9327,9327,9327,9446,9446,9446
06.02.2026 - 20.02.2026,8969,8969,8969,8969,8969,8969,8969,8969,8969
13.02.2026 - 27.02.2026,8969,8969,8969,9089,9089,9089,9089,9089,9089
20.02.2026 - 06.03.2026,9054,9054,9054,9054,9054,9054,9054,9054,9054
06.03.2026 - 20.03.2026,9029,9029,9029,9029,9029,9029,9029,9029,9029
13.03.2026 - 27.03.2026,8910,8910,8910,8910,8910,8910,8910,8910,8910
20.03.2026 - 03.04.2026,8942,8942,8942,8942,8942,8942,8942,8942,8942
27.03.2026 - 10.04.2026,8910,8910,8910,8910,8910,8910,8910,8910,8910
03.04.2026 - 17.04.2026,8731,8731,8731,8731,8731,8731,8731,8731,8731
24.04.2026 - 08.05.2026,8627,8627,8627,8627,8627,8627,8627,8627,8746
