,01.03.2026 21:29:09,01.03.2026 21:33:30,02.03.2026 04:50:07,03.03.2026 04:48:32,04.03.2026 04:42:07,05.03.2026 04:46:24,06.03.2026 04:43:52,07.03.2026 04:22:54,08.03.2026 04:44:47,09.03.2026 04:53:31,10.03.2026 04:43:52,11.03.2026 04:44:53,13.03.2026 04:46:07,14.03.2026 04:44:08,15.03.2026 05:07:40,16.03.2026 05:17:44,17.03.2026 04:53:36,18.03.2026 04:58:23,19.03.2026 04:56:20,20.03.2026 04:49:04,21.03.2026 04:27:48
08.11.2026 - 20.11.2026,8482,8482,8487,8487,8487,8487,8487,8487,8487,8487,8403,8495,8495,8495,8495,8495,8495,8495,8495,8495,8495
19.11.2026 - 30.11.2026,7801,7801,7804,7804,7804,7804,7804,7799,7799,7799,7744,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818
29.11.2026 - 11.12.2026,7818,7818,7823,7823,7823,7823,7823,7823,7823,7823,7739,7849,7849,7849,7849,7849,7849,7849,7849,7849,7849
10.12.2026 - 21.12.2026,7673,7673,7676,7676,7676,7676,7676,7676,7676,7676,7620,7698,7698,7698,7698,7698,7698,7698,7698,7698,7698
20.12.2026 - 31.12.2026,8749,8749,8751,8751,8751,8751,8751,8731,8731,8731,8692,8771,8771,8771,8771,8771,8771,8771,8771,8771,8771
30.12.2026 - 11.01.2027,9040,9040,9045,9045,9045,9045,9045,9045,9045,9045,8961,9072,9072,9072,9072,9072,9072,9072,9072,9072,9072
10.01.2027 - 22.01.2027,7931,7931,7936,7936,7912,7912,7912,7912,7912,7912,7828,7931,7931,7931,7931,7931,7931,7931,7931,7931,7931
21.01.2027 - 01.02.2027,8552,8552,8554,8554,8554,8554,8554,8554,8554,8554,8498,8571,8571,8571,8571,8571,8571,8571,8571,8571,8571
31.01.2027 - 12.02.2027,8722,8722,8727,8727,8727,8727,8727,8727,8727,8727,8643,8745,8745,8745,8745,8745,8745,8745,8745,8745,8745
11.02.2027 - 22.02.2027,8624,8624,8626,8626,8626,8626,8626,8626,8626,8626,8570,8642,8642,8642,8642,8642,8642,8642,8642,8642,8642
21.02.2027 - 05.03.2027,8551,8551,8556,8556,8556,8556,8556,8556,8556,8556,8454,8594,8594,8594,8594,8594,8594,8594,8594,8594,8594
04.03.2027 - 15.03.2027,8378,8378,8381,8381,8381,8381,8381,8381,8381,8381,8313,8393,8393,8393,8393,8393,8393,8393,8393,8393,8393
14.03.2027 - 26.03.2027,8405,8405,8410,8433,8433,8433,8433,8425,8425,8425,8356,8456,8456,8456,8456,8456,8456,8456,8456,8456,8456
