,01.03.2026 21:28:50,01.03.2026 21:33:12,02.03.2026 04:49:49,03.03.2026 04:48:16,04.03.2026 04:41:50,05.03.2026 04:46:08,06.03.2026 04:43:35,07.03.2026 04:22:38,08.03.2026 04:44:29,09.03.2026 04:53:13,10.03.2026 04:43:34,11.03.2026 04:44:36,13.03.2026 04:45:49,14.03.2026 04:43:50,15.03.2026 05:07:21,16.03.2026 05:17:28,17.03.2026 04:53:18,18.03.2026 04:58:05,19.03.2026 04:56:04,20.03.2026 04:48:45,21.03.2026 04:27:29,22.03.2026 04:53:59
08.11.2026 - 20.11.2026,8247,8247,8252,8252,8252,8252,8252,8252,8252,8252,7915,8361,8361,8361,8361,8361,8361,8361,8361,8361,8361,8361
19.11.2026 - 30.11.2026,7502,7502,7505,7505,7505,7505,7505,7478,7478,7478,7207,7553,7553,7553,7553,7553,7553,7553,7553,7553,7535,7535
29.11.2026 - 11.12.2026,7527,7527,7532,7532,7625,7625,7532,7532,7532,7532,7196,7548,7548,7548,7548,7548,7548,7548,7548,7548,7548,7548
10.12.2026 - 21.12.2026,7412,7412,7414,7414,7414,7414,7414,7414,7414,7414,7134,7424,7424,7424,7424,7424,7424,7424,7424,7424,7424,7513
20.12.2026 - 31.12.2026,8724,8724,8727,8727,8727,8727,8727,8545,8545,8545,8350,8759,8759,8759,8759,8759,8759,8759,8759,8759,8759,8759
30.12.2026 - 11.01.2027,8696,8696,8701,8701,8701,8701,8701,8701,8701,8701,8365,8701,9131,9131,9131,9131,9131,9239,9239,9239,9239,9239
10.01.2027 - 22.01.2027,7699,7699,7704,7704,7611,7611,7611,7611,7611,7611,7274,7624,7624,7624,7624,7624,7624,7624,7624,7624,7624,7624
21.01.2027 - 01.02.2027,8138,8138,8141,8141,8141,8141,8141,8141,8141,8141,7860,8151,8151,8151,8151,8151,8151,8151,8151,8151,8151,8151
31.01.2027 - 12.02.2027,8378,8378,8383,8502,8502,8502,8502,8502,8502,8502,8274,8611,8611,8611,8611,8611,8611,8611,8611,8611,8611,8611
11.02.2027 - 22.02.2027,8238,8238,8241,8241,8241,8241,8241,8241,8241,8241,7960,8251,8251,8251,8251,8251,8251,8251,8251,8251,8251,8251
21.02.2027 - 05.03.2027,8199,8199,8204,8204,8204,8204,8204,8204,8204,8204,7819,8227,8227,8227,8227,8227,8227,8227,8227,8227,8227,8227
04.03.2027 - 15.03.2027,7919,7919,7921,7921,7921,7878,7878,7878,7878,7878,7581,7930,7930,7930,7930,7930,7930,7930,7930,7930,7930,7930
14.03.2027 - 26.03.2027,7644,7644,7649,7742,7742,7597,7597,7707,7707,7707,7800,8024,8024,8024,8024,8024,8024,8024,8024,8024,7964,7964
