,01.03.2026 21:28:50,01.03.2026 21:33:12,02.03.2026 04:49:49,03.03.2026 04:48:16,04.03.2026 04:41:50,05.03.2026 04:46:08,06.03.2026 04:43:35,07.03.2026 04:22:38,08.03.2026 04:44:29,09.03.2026 04:53:13,10.03.2026 04:43:34,11.03.2026 04:44:36,13.03.2026 04:45:49,14.03.2026 04:43:50,15.03.2026 05:07:21,16.03.2026 05:17:28,17.03.2026 04:53:18,18.03.2026 04:58:05,19.03.2026 04:56:04,20.03.2026 04:48:45,21.03.2026 04:27:29,22.03.2026 04:53:59,22.03.2026 19:00:54,22.03.2026 19:26:07,23.03.2026 05:05:05,24.03.2026 04:55:01,25.03.2026 04:55:39,26.03.2026 05:08:13,27.03.2026 05:08:50,28.03.2026 04:54:24,29.03.2026 05:12:13,30.03.2026 05:27:00,31.03.2026 05:10:43,01.04.2026 05:26:27,02.04.2026 05:04:43,03.04.2026 05:06:17,04.04.2026 04:51:40,05.04.2026 05:13:42,06.04.2026 05:26:21,07.04.2026 05:10:53,08.04.2026 05:12:54,09.04.2026 05:11:16,10.04.2026 05:27:02,11.04.2026 04:57:21,12.04.2026 05:25:26,13.04.2026 05:43:48,14.04.2026 05:25:36,15.04.2026 05:26:01,16.04.2026 05:32:27,17.04.2026 05:29:59,18.04.2026 05:08:21,19.04.2026 05:30:59,20.04.2026 05:43:29,21.04.2026 05:28:49,22.04.2026 05:27:46,23.04.2026 05:32:14,24.04.2026 05:37:08,25.04.2026 05:13:07,26.04.2026 05:41:24
12.03.2026 - 23.03.2026,9144,9144,9144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.11.2026 - 20.11.2026,8305,8305,8310,8310,8310,8310,8310,8310,8310,8310,7974,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8420,8312,8312,8312,8312,8312,8312,8420,8420,8420,8420
19.11.2026 - 30.11.2026,7555,7555,7558,7558,7558,7558,7558,7530,7530,7530,7259,7606,7606,7606,7606,7606,7606,7606,7606,7606,7588,7588,7588,7588,7588,7588,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806,7806
29.11.2026 - 11.12.2026,7579,7579,7584,7584,7678,7678,7584,7584,7584,7584,7248,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7720,7720,7720,7720,7720,7720,7720,7720,7829,7829,7829,7829,7829,7829,7829,7927,7927,7927,7829,7829
10.12.2026 - 21.12.2026,7463,7463,7465,7465,7465,7465,7465,7465,7465,7465,7185,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7565,7565,7565,7565,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7575,7575,7575,7575,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476,7476
20.12.2026 - 31.12.2026,8781,8781,8783,8783,8783,8783,8783,8602,8602,8602,8406,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816,8816
30.12.2026 - 11.01.2027,8755,8755,8760,8760,8760,8760,8760,8760,8760,8760,8424,8760,9193,9193,9193,9193,9193,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302,9302
10.01.2027 - 22.01.2027,7752,7752,7757,7757,7664,7664,7664,7664,7664,7664,7327,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7797,7797,7797,7797,7797,7797,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7677,7797,7677,7677,7677,7677,7677,7677,7677,7677
21.01.2027 - 01.02.2027,8196,8196,8199,8199,8199,8199,8199,8199,8199,8199,7919,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8209,8309,8309,8451,8451,8559,8418,8418,8418,8418,8418,8418,8418,8418,8418
31.01.2027 - 12.02.2027,8436,8436,8442,8562,8562,8562,8562,8562,8562,8562,8334,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8671,8780,8780,8780,8780,8780,8780,8780,8780,8780,8780
11.02.2027 - 22.02.2027,8296,8296,8299,8299,8299,8299,8299,8299,8299,8299,8019,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309,8309
21.02.2027 - 05.03.2027,8256,8256,8261,8261,8261,8261,8261,8261,8261,8261,7876,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284,8284
04.03.2027 - 15.03.2027,7975,7975,7978,7978,7978,7935,7935,7935,7935,7935,7638,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986
14.03.2027 - 26.03.2027,7697,7697,7702,7796,7796,7650,7650,7761,7761,7761,7855,8079,8079,8079,8079,8079,8079,8079,8079,8079,8019,8019,8019,8019,8019,8019,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8079,8188,8188,8188,8188,8188,8188
