,22.03.2026 19:02:03,22.03.2026 19:26:53,23.03.2026 05:06:26,24.03.2026 04:56:21,25.03.2026 04:56:47,26.03.2026 05:09:31,27.03.2026 05:10:06,28.03.2026 04:55:31,29.03.2026 05:13:20,30.03.2026 05:28:19,31.03.2026 05:11:53,01.04.2026 05:27:49,02.04.2026 05:05:51,03.04.2026 05:07:24,04.04.2026 04:52:56,05.04.2026 05:14:52,06.04.2026 05:27:33,07.04.2026 05:12:00,08.04.2026 05:14:01,09.04.2026 05:12:23,10.04.2026 05:28:24,11.04.2026 04:58:38,12.04.2026 05:26:38,13.04.2026 05:45:00,14.04.2026 05:26:55,15.04.2026 05:27:16,16.04.2026 05:33:35,17.04.2026 05:31:18,18.04.2026 05:09:32,19.04.2026 05:32:23,20.04.2026 05:44:41,21.04.2026 05:29:59,22.04.2026 05:29:36,23.04.2026 05:33:27,24.04.2026 05:38:30,25.04.2026 05:14:15,26.04.2026 05:42:39,27.04.2026 05:57:59
26.04.2026 - 07.05.2026,24168,24168,24168,24055,24055,24055,23944,23944,23944,23944,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.2026 - 08.05.2026,,,,,23210,23210,23210,22986,22986,22986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.2026 - 09.05.2026,21123,21123,21123,21044,20620,20541,20631,20631,20631,20631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.2026 - 13.05.2026,,,,,,,20436,20436,20436,20436,20524,20524,20524,20524,20771,20692,20692,20692,20524,20614,20614,20524,20524,20524,20524,19965,,,,,,,,,,,,
12.05.2026 - 23.05.2026,,,,,,,,,,,,,,20404,20404,20404,20404,20404,20325,20415,20325,20237,20237,20237,20404,19845,19933,19957,,,,,,,,,,
23.05.2026 - 03.06.2026,20000,20000,20000,20000,19776,19776,19776,19696,19696,19696,19696,19472,19563,19563,19472,19472,19472,19472,19472,19472,19472,19472,19384,19472,19865,19865,19865,19865,19776,19776,19776,19776,19865,19865,19776,19977,20168,20163
28.05.2026 - 08.06.2026,18213,18213,18213,18213,17988,18077,18077,17988,18189,18189,18413,18077,18189,18189,18189,18189,18189,18189,18189,18189,18189,18189,18189,18189,18560,18581,,,,,,,,,,,,
02.06.2026 - 13.06.2026,16726,16726,16906,16906,16906,16815,16815,16646,16646,16646,16646,16646,16646,16758,16758,16758,16758,16758,16670,16670,16670,16670,16983,16983,17242,17063,17063,17063,16983,17007,17007,16927,16927,16927,16927,17095,17119,17114
04.06.2026 - 15.06.2026,16590,16590,16681,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16702,16983,16983,16983,16983,16983,16983,16983,16983,16983,16983,16983,17152,17152,17147
09.06.2026 - 20.06.2026,16646,16646,16646,16646,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16478,16569,16569,16815,16815,16815,16815,16906,16906,16906,16906,16815,16815,16815,17152,17152,17147
13.06.2026 - 24.06.2026,16665,16665,16665,16766,16687,16687,16687,16598,16598,16598,16598,16598,16687,16687,16687,16687,16687,16687,16598,16598,16598,16598,16598,16598,16855,16855,16855,16855,16855,16878,16878,16878,16878,16878,16878,17226,17226,17243
16.06.2026 - 27.06.2026,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16590,16838,16838,16838,16838,16838,16838,16838,16838,16927,16927,16927,17175,17175,17170
20.06.2026 - 01.07.2026,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16631,16822,16822,16822,17079,17079,16911,16911,16911,16911,16911,16911,16911,17002,17002,17383,17383,17379
23.06.2026 - 04.07.2026,16456,16456,16456,16456,16456,16456,16456,16365,16365,16365,16365,16365,16456,16456,16456,16456,16456,16456,16456,16646,16557,16557,16557,16557,16927,16927,16838,16838,16838,16838,16838,16927,16927,16927,16838,17400,17400,17395
25.06.2026 - 06.07.2026,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16629,16877,16877,16877,16877,16877,16877,16877,16877,16877,16877,16877,17225,17225,17220
27.06.2026 - 08.07.2026,17561,17561,17561,17561,17561,17561,17652,17652,17652,17652,17652,17652,17561,17561,17561,17561,17561,17561,17561,17561,17561,17561,17561,17561,17841,17841,17841,17841,17841,17841,17841,17841,17841,17841,17841,18212,18212,18207
30.06.2026 - 11.07.2026,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16556,16812,16812,16812,16812,16812,16724,16724,16724,16724,16724,16724,17060,17060,17143
02.07.2026 - 13.07.2026,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16332,16421,16668,16756,16668,16668,16668,16668,16668,16589,16589,16700,16700,17036,17036,17032
04.07.2026 - 15.07.2026,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17333,17612,17612,17612,17612,17612,17612,17612,17612,17612,17612,17612,18115,18115,18110
07.07.2026 - 18.07.2026,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17372,17367
09.07.2026 - 20.07.2026,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17148,17143
11.07.2026 - 22.07.2026,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17469,17581,17581,17581,17581,17581,17581,17581,17581,17581,17581,17576
14.07.2026 - 25.07.2026,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17484,17731,17731,17731,17731,17563,17563,17395,17395,17395,17395,17395,17395,17395,17395,17395,17395,17395,17391
16.07.2026 - 27.07.2026,17147,17147,17147,17147,17147,17147,17147,17147,17147,17147,17147,17147,17147,17147,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17259,17254
18.07.2026 - 29.07.2026,17603,17603,17603,17603,17603,17603,17603,17524,17524,17524,17524,17524,17524,17524,17524,17524,17547,17547,17547,17726,17726,17726,17726,17726,17726,17726,17726,17547,17547,17547,17547,17547,17547,17547,17547,17547,17547,17543
23.07.2026 - 03.08.2026,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17706,17618,17618,17618,17618,17613
25.07.2026 - 05.08.2026,17503,17503,17503,17503,17503,17692,17692,17692,17692,17692,17692,17692,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17524,17519
28.07.2026 - 08.08.2026,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17517,17512
30.07.2026 - 10.08.2026,17450,17450,17450,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17472,17467
01.08.2026 - 12.08.2026,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17580,17575
04.08.2026 - 15.08.2026,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18157,18152
06.08.2026 - 17.08.2026,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17486
08.08.2026 - 19.08.2026,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17699,17694
11.08.2026 - 22.08.2026,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17435,17626,17626,17626,17626,17626,17626,17626,17906,17637,17637,17637,17637,17637,17458,17458,17738,17738,17738,17738,17733
13.08.2026 - 24.08.2026,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17351,17373,17373,17373,17373,17373,17373,17373,17373,17373,17373,17373,17373,17373,17373,17368
15.08.2026 - 26.08.2026,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17763,17758
18.08.2026 - 29.08.2026,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17563,17559
20.08.2026 - 31.08.2026,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17540,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17652,17647
22.08.2026 - 02.09.2026,17874,17874,17874,17874,17874,17874,17874,17874,17874,17874,17874,17874,17874,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17707,17703
25.08.2026 - 05.09.2026,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17786,17782
27.08.2026 - 07.09.2026,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17596,17591
01.09.2026 - 12.09.2026,18100,18100,18100,18100,18189,18189,18213,18213,18213,18213,18213,18213,18213,18213,18213,18213,18213,18213,18213,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18301,18296
03.09.2026 - 14.09.2026,18078,18078,18078,18190,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18102,18302,18302,18302,18302,18302,18302,18302,18302,18302,18302,18302,18302,18302,18298
05.09.2026 - 16.09.2026,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18309,18304
08.09.2026 - 19.09.2026,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18078,18073
