,22.03.2026 19:03:33,22.03.2026 19:27:47,23.03.2026 05:08:10,24.03.2026 04:58:13,25.03.2026 04:58:12,26.03.2026 05:11:15,27.03.2026 05:11:51,28.03.2026 04:57:00,29.03.2026 05:14:47,30.03.2026 05:30:02,31.03.2026 05:13:25,01.04.2026 05:29:40,02.04.2026 05:07:21,03.04.2026 05:08:54,04.04.2026 04:54:41,05.04.2026 05:16:24,06.04.2026 05:29:04,07.04.2026 05:13:26,08.04.2026 05:15:27,09.04.2026 05:13:49,10.04.2026 05:30:15,11.04.2026 05:00:24
08.05.2026 - 21.05.2026,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431,17431
22.05.2026 - 04.06.2026,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231,17231
05.06.2026 - 18.06.2026,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352,17352
19.06.2026 - 02.07.2026,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831,17831
03.07.2026 - 16.07.2026,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782
17.07.2026 - 30.07.2026,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931,18931
29.07.2026 - 11.08.2026,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431,19431
14.08.2026 - 27.08.2026,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181,19181
28.08.2026 - 10.09.2026,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081
11.09.2026 - 24.09.2026,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081
25.09.2026 - 08.10.2026,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081,19081
08.10.2026 - 23.10.2026,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678,18678
22.10.2026 - 06.11.2026,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970,17970
30.10.2026 - 14.11.2026,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099,18099
06.11.2026 - 21.11.2026,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421,18421
12.11.2026 - 27.11.2026,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771,17771
19.11.2026 - 04.12.2026,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299,18299
26.11.2026 - 11.12.2026,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199,18199
04.12.2026 - 19.12.2026,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830,18830
12.12.2026 - 27.12.2026,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149,19149
02.01.2027 - 17.01.2027,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198,20198
08.01.2027 - 23.01.2027,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980,18980
15.01.2027 - 30.01.2027,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480
22.01.2027 - 06.02.2027,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480
29.01.2027 - 13.02.2027,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559,18559
05.02.2027 - 20.02.2027,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681
12.02.2027 - 27.02.2027,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700,18700
19.02.2027 - 06.03.2027,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681
26.02.2027 - 13.03.2027,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681,18681
05.03.2027 - 20.03.2027,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480
12.03.2027 - 27.03.2027,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480
19.03.2027 - 03.04.2027,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480
26.03.2027 - 10.04.2027,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480,18480
