,22.03.2026 19:03:52,22.03.2026 19:28:00,23.03.2026 05:08:32,24.03.2026 04:58:37,25.03.2026 04:58:31,26.03.2026 05:11:39,27.03.2026 05:12:14,28.03.2026 04:57:27,29.03.2026 05:15:07,30.03.2026 05:30:25,31.03.2026 05:13:45,01.04.2026 05:30:04,02.04.2026 05:07:40,03.04.2026 05:09:14,04.04.2026 04:55:03,05.04.2026 05:16:44,06.04.2026 05:29:25,07.04.2026 05:13:46,08.04.2026 05:15:46,09.04.2026 05:14:09,10.04.2026 05:30:39,11.04.2026 05:00:47,12.04.2026 05:28:30,13.04.2026 05:47:02,14.04.2026 05:29:02,15.04.2026 05:29:12,16.04.2026 05:35:20,17.04.2026 05:33:23,18.04.2026 05:11:24,19.04.2026 05:34:34,20.04.2026 05:46:31,21.04.2026 05:31:49,22.04.2026 05:32:49,23.04.2026 05:35:21
08.10.2026 - 23.10.2026,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,23564,22567,22567,22567
22.10.2026 - 06.11.2026,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,22806,21810,21810,21810
30.10.2026 - 14.11.2026,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,22732,21781,21781,21781
06.11.2026 - 21.11.2026,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,23249,22299,22299,22299
12.11.2026 - 27.11.2026,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,22599,21650,21650,21650
19.11.2026 - 04.12.2026,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,23150,22200,22200,22200
26.11.2026 - 11.12.2026,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,23251,22301,22301,22301
04.12.2026 - 19.12.2026,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,23652,22712,22712,22712
12.12.2026 - 27.12.2026,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24876,24500,24500,24500
02.01.2027 - 17.01.2027,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25676,25581,25581,25581
08.01.2027 - 23.01.2027,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23971,23306,23306,23306
15.01.2027 - 30.01.2027,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,22369,22369,22369
22.01.2027 - 06.02.2027,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,22369,22369,22369
29.01.2027 - 13.02.2027,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,23319,22369,22369,22369
