,22.03.2026 19:03:53,22.03.2026 19:28:00,23.03.2026 05:08:34,24.03.2026 04:58:38,25.03.2026 04:58:33,26.03.2026 05:11:41,27.03.2026 05:12:16,28.03.2026 04:57:28,29.03.2026 05:15:08,30.03.2026 05:30:26,31.03.2026 05:13:46,01.04.2026 05:30:06,02.04.2026 05:07:42,03.04.2026 05:09:15,04.04.2026 04:55:05,05.04.2026 05:16:46,06.04.2026 05:29:26,07.04.2026 05:13:47,08.04.2026 05:15:47,09.04.2026 05:14:10,10.04.2026 05:30:41,11.04.2026 05:00:48,12.04.2026 05:28:31,13.04.2026 05:47:03,14.04.2026 05:29:03,15.04.2026 05:29:14,16.04.2026 05:35:21,17.04.2026 05:33:24,18.04.2026 05:11:25,19.04.2026 05:34:36,20.04.2026 05:46:33,21.04.2026 05:31:50,22.04.2026 05:32:51,23.04.2026 05:35:22,24.04.2026 05:40:37,25.04.2026 05:16:02,26.04.2026 05:44:44,27.04.2026 06:00:12,28.04.2026 06:12:01
08.10.2026 - 23.10.2026,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,19539,18454,18454,18454,18454,18454,18454,18440,18454
22.10.2026 - 06.11.2026,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,18861,17775,17775,17775,17775,17775,17775,17761,17775
30.10.2026 - 14.11.2026,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,18911,17875,17875,17875,17875,17875,17875,17861,17875
06.11.2026 - 21.11.2026,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,18398,18398,18398,18398,18398,18398,18384,18398
12.11.2026 - 27.11.2026,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,18782,17748,17748,17748,17748,17748,17748,17734,17748
19.11.2026 - 04.12.2026,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,19332,18297,18297,18297,18297,18297,18297,18283,18297
26.11.2026 - 11.12.2026,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,19432,18397,18397,18397,18397,18397,18397,18383,18397
04.12.2026 - 19.12.2026,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,19861,18837,18837,18837,18837,18837,18837,18823,18837
12.12.2026 - 27.12.2026,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20692,20282,20282,20282,20282,20282,20282,20268,20282
02.01.2027 - 17.01.2027,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21261,21158,21158,21158,21158,21158,21158,21143,21158
08.01.2027 - 23.01.2027,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19942,19217,19217,19217,19217,19217,19217,19203,19217
15.01.2027 - 30.01.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
22.01.2027 - 06.02.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
29.01.2027 - 13.02.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
05.02.2027 - 20.02.2027,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,18674,18674,18674,18674,18674,18674,18660,18674
12.02.2027 - 27.02.2027,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,18674,18674,18674,18674,18674,18674,18660,18674
19.02.2027 - 06.03.2027,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,18674,18674,18674,18674,18674,18674,18660,18674
26.02.2027 - 13.03.2027,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,19721,18674,18674,18674,18674,18674,18674,18660,18674
05.03.2027 - 20.03.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
12.03.2027 - 27.03.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
19.03.2027 - 03.04.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
26.03.2027 - 10.04.2027,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,19491,18457,18457,18457,18457,18457,18457,18443,18457
