,20.09.2026 08:21:59,21.09.2026 08:40:13,22.09.2026 08:20:04,23.09.2026 08:21:39,24.09.2026 08:13:45,25.09.2026 08:36:32,26.09.2026 08:23:34
23.04.2027 - 08.05.2027,,,25150,25150,25150,25150,25150
04.06.2027 - 19.06.2027,23626,23626,23626,23626,23626,23626,23626
02.07.2027 - 17.07.2027,24361,24361,24361,24361,24361,24361,24361
16.07.2027 - 31.07.2027,23552,23552,23552,23552,23552,23552,23552
30.07.2027 - 14.08.2027,23808,23808,23808,23808,23808,23808,23808
13.08.2027 - 28.08.2027,23808,23808,23808,23808,23808,23808,23808
27.08.2027 - 11.09.2027,23808,23808,23808,23808,23808,23808,23808
10.09.2027 - 25.09.2027,23808,23808,23808,23808,23808,23808,23808
24.09.2027 - 09.10.2027,23954,23954,23954,23954,23954,23954,23954
08.10.2027 - 23.10.2027,23766,23766,23766,23766,23766,23766,23766
22.10.2027 - 06.11.2027,23504,23547,23547,23547,23547,23525,23525
