,22.03.2026 19:01:58,23.03.2026 05:06:21,24.03.2026 04:56:16,25.03.2026 04:56:42,26.03.2026 05:09:25,27.03.2026 05:10:01,28.03.2026 04:55:27,29.03.2026 05:13:15,30.03.2026 05:28:14,31.03.2026 05:11:48,01.04.2026 05:27:43,02.04.2026 05:05:46,03.04.2026 05:07:20,04.04.2026 04:52:50,05.04.2026 05:14:47,06.04.2026 05:27:28,07.04.2026 05:11:56,08.04.2026 05:13:57,09.04.2026 05:12:18,10.04.2026 05:28:18,11.04.2026 04:58:33,12.04.2026 05:26:33,13.04.2026 05:44:55,14.04.2026 05:26:50
17.04.2026 - 02.05.2026,24121,24121,24121,24121,24121,24121,,,,,,,,,,,,,,,,,,
21.04.2026 - 05.05.2026,,,,,,,32987,32987,32987,32987,33258,,,,,,,,,,,,,
24.04.2026 - 09.05.2026,,,,25414,25414,25414,,25414,25414,25414,,,,,,,,,,,,,,
01.05.2026 - 16.05.2026,24139,24139,23355,23297,23297,23297,23124,23124,23124,22924,23017,24045,24057,25313,25313,25313,25313,25231,26109,,,,,
15.05.2026 - 30.05.2026,,,,,,,,,,,,,,,,,,25468,25493,25493,25493,,,26015
29.05.2026 - 13.06.2026,23883,23883,23883,23883,23883,23883,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23801,23917,24439
04.06.2026 - 19.06.2026,24729,24729,24729,24729,24729,23221,23221,23221,23221,23221,23221,23221,23221,23257,23257,23257,23257,23304,23304,23337,23337,23337,23337,23685
12.06.2026 - 27.06.2026,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23124,23475
18.06.2026 - 03.07.2026,25168,25168,25168,25168,25168,25168,25168,25168,25168,23801,23801,23837,23837,23884,23884,23884,23884,23859,23859,23826,23826,23826,23826,24185
26.06.2026 - 11.07.2026,24367,24367,24367,24367,24367,24367,24367,24367,24367,24274,24274,24274,24274,24274,24274,24274,24274,24274,24274,24274,24274,24274,24274,24775
02.07.2026 - 17.07.2026,26642,26642,26642,26642,26642,26642,26642,26642,26642,26666,26666,26666,26699,26699,26699,26699,26699,26666,26666,26666,26666,26666,26666,27068
03.07.2026 - 18.07.2026,27222,27222,27222,27222,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27131,27536
10.07.2026 - 25.07.2026,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103,26103
17.07.2026 - 01.08.2026,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,24903,25110,25110,25110,25110
24.07.2026 - 08.08.2026,24772,24772,24772,24772,24772,24772,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,24887,25003,25003
30.07.2026 - 14.08.2026,26906,26906,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873,26873
31.07.2026 - 15.08.2026,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953,24953
07.08.2026 - 22.08.2026,25498,25498,25416,25416,25416,25416,25416,25416,25416,25416,25416,25509,25509,25509,25509,25509,25509,25416,25416,25416,25416,25416,25416,25416
13.08.2026 - 28.08.2026,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375,26375
14.08.2026 - 29.08.2026,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879,24879
21.08.2026 - 05.09.2026,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845,24845
28.08.2026 - 12.09.2026,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664,24664
