,07.02.2025 21:16:15,08.02.2025 03:22:51,09.02.2025 03:25:15,10.02.2025 03:26:42,11.02.2025 03:25:25,12.02.2025 03:24:54,13.02.2025 03:25:08,14.02.2025 03:25:18,15.02.2025 03:25:47,16.02.2025 03:27:33,17.02.2025 03:27:57,18.02.2025 03:24:34,19.02.2025 03:28:26,19.02.2025 22:12:17,20.02.2025 03:26:18,21.02.2025 03:26:50,22.02.2025 03:24:13,23.02.2025 03:27:33,24.02.2025 03:29:37,25.02.2025 03:29:08,26.02.2025 03:28:57,27.02.2025 03:29:12
12.03 - 24.03,15426,15426,14926,15426,,,15476,15732,15426,14726,15426,15626,15626,13726,13726,13926,13026,12426,13526,12626,11926,
02.04 - 14.04,16927,16927,16927,16927,17227,17327,16727,16727,16927,16927,16927,16527,16527,15227,15227,16027,14927,14927,14927,14927,14427,14127
09.04 - 21.04,16927,16927,16927,16927,,,,,,,,,,,,,,,,,,
16.04 - 28.04,17577,17577,17577,17577,17577,17577,17577,17577,17577,17577,17577,17027,17027,16427,16427,15827,15027,15027,15027,14526,14027,13526
23.04 - 05.05,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,16927,16927,18177,18177,17727,17327,17327,17327,17026,16427,16026
30.04 - 12.05,18376,18376,18376,18376,18376,18476,18476,17926,17926,17926,17926,17727,17727,17377,17377,17977,17426,17426,17426,17626,17777,17577
01.05 - 13.05,18576,18576,18376,18376,18376,18376,18476,18676,18676,18676,18676,18776,18776,,,18776,17826,17826,17826,17826,17826,17876
07.05 - 19.05,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,,18026,18026,18026,18026,18026,18026,18076
14.05 - 26.05,16876,16876,16876,16876,16876,16876,16876,16776,16876,17076,17276,17676,17676,17476,17476,17476,17476,17476,17476,17476,17476,17626
21.05 - 02.06,17376,17376,17376,17376,17376,17476,17676,17676,17676,17676,17676,17676,17576,17676,17676,17576,17576,17576,17576,17576,17576,17726
28.05 - 09.06,15897,15897,15897,15897,16197,17097,17797,17997,17997,17897,17897,17897,17897,,,17797,17797,17797,17797,17997,17997,18347
04.06 - 16.06,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,,17426,17426,17426,17426,17426,17426,17476
05.06 - 17.06,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16207
11.06 - 23.06,15947,15947,15947,15947,15947,16147,16547,16547,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16397
12.06 - 24.06,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,,,16057,16057,16057,16057,16057,16057,16107
