,22.03.2026 19:03:30,23.03.2026 05:08:06,24.03.2026 04:58:09,25.03.2026 04:58:09,26.03.2026 05:11:11,27.03.2026 05:11:47,28.03.2026 04:56:57,29.03.2026 05:14:45,30.03.2026 05:29:59,31.03.2026 05:13:22,01.04.2026 05:29:37,02.04.2026 05:07:18,03.04.2026 05:08:52,04.04.2026 04:54:37,05.04.2026 05:16:21,06.04.2026 05:29:01,07.04.2026 05:13:24,08.04.2026 05:15:24,09.04.2026 05:13:47,10.04.2026 05:30:11,11.04.2026 05:00:20,12.04.2026 05:28:07,13.04.2026 05:46:36,14.04.2026 05:28:35,15.04.2026 05:28:48,16.04.2026 05:34:58,17.04.2026 05:32:56,18.04.2026 05:10:59,19.04.2026 05:34:06,20.04.2026 05:46:08,21.04.2026 05:31:26,22.04.2026 05:32:14,23.04.2026 05:34:56,24.04.2026 05:40:08,25.04.2026 05:15:38,26.04.2026 05:44:15,27.04.2026 05:59:43
01.11.2026 - 16.11.2026,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16208,16194
08.11.2026 - 23.11.2026,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16229,16215
15.11.2026 - 30.11.2026,15102,15102,,,,,,,,15102,15102,15102,15102,15102,15102,15102,15102,15102,15102,15102,,,,,15102,15102,15102,15102,15102,15102,15102,15214,15214,15214,15214,15214,15201
22.11.2026 - 07.12.2026,15115,15115,15115,15215,15215,15215,15215,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,,,,,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,15315,15301
29.11.2026 - 14.12.2026,15044,15044,15044,15494,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,,,,,,,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15594,15580
06.12.2026 - 21.12.2026,15290,15290,15290,15290,15290,,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,,,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15290,15276
13.12.2026 - 28.12.2026,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15796,15783
20.12.2026 - 04.01.2027,17744,17744,17744,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17844,17915,17915,17915,17901
27.12.2026 - 11.01.2027,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17344,17330
03.01.2027 - 18.01.2027,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16520,16506
10.01.2027 - 25.01.2027,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15894,15880
17.01.2027 - 01.02.2027,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16659,16645
24.01.2027 - 08.02.2027,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16545
31.01.2027 - 15.02.2027,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16545
07.02.2027 - 22.02.2027,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16559,16545
14.02.2027 - 01.03.2027,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16424,16409
21.02.2027 - 08.03.2027,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16322,16308
28.02.2027 - 15.03.2027,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15244,15244,15244,15315,15315,15315,15301
