,22.03.2026 19:03:04,23.03.2026 05:07:35,24.03.2026 04:57:36,25.03.2026 04:57:45,26.03.2026 05:10:40,27.03.2026 05:11:16,28.03.2026 04:56:32,29.03.2026 05:14:20,30.03.2026 05:29:29,31.03.2026 05:12:56,01.04.2026 05:29:03,02.04.2026 05:06:53,03.04.2026 05:08:27,04.04.2026 04:54:07,05.04.2026 05:15:55,06.04.2026 05:28:34,07.04.2026 05:13:00,08.04.2026 05:15:00,09.04.2026 05:13:22,10.04.2026 05:29:38,11.04.2026 04:59:49,12.04.2026 05:27:40,13.04.2026 05:46:08,14.04.2026 05:28:04,15.04.2026 05:28:21,16.04.2026 05:34:33,17.04.2026 05:32:27,18.04.2026 05:10:34,19.04.2026 05:33:35,20.04.2026 05:45:43,21.04.2026 05:31:01,22.04.2026 05:31:22,23.04.2026 05:34:30,24.04.2026 05:39:39,25.04.2026 05:15:15,26.04.2026 05:43:47,27.04.2026 05:59:12,28.04.2026 06:11:11,29.04.2026 05:58:23,30.04.2026 06:09:47
31.03.2026 - 14.04.2026,13566,13566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.04.2026 - 04.05.2026,15096,15096,14913,14913,14913,14913,14913,14913,14913,15131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.2026 - 12.05.2026,13937,13937,13937,13937,13937,14179,14179,14179,14179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.05.2026 - 18.05.2026,15207,15207,15207,15207,15207,15207,15207,15207,15207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.05.2026 - 25.05.2026,14072,14072,14072,14072,14072,14072,13689,13689,13689,18049,17955,18049,18049,18049,18269,18269,18116,17937,17937,17937,18091,18091,18091,18271,18271,,,,,,,,,,,,,,,
18.05.2026 - 01.06.2026,13930,13930,13930,13930,13930,13930,13930,13930,13930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.05.2026 - 08.06.2026,14033,14033,14033,14033,14033,14033,14033,14033,14033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.06.2026 - 15.06.2026,13752,13752,13847,13872,13872,13787,13787,13787,13787,14929,14929,15024,14786,14786,14692,14692,14692,14692,14692,14692,14692,14786,14786,15003,15528,,16445,16540,16540,16540,16387,16387,16302,16302,16362,16362,16355,16146,16061,
08.06.2026 - 22.06.2026,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,13955,14224,14224,14224,14224,14522,14428,14428,14343,14602,14722,14722,14722,14722,14722,14627,14926,14926,15014,15223,15121,
15.06.2026 - 29.06.2026,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,13974,14089,14089,14089,14089,14304,14209,14304,14209,14526,14526,14526,14621,14621,14526,14526,14825,14825,14819,14825,14825,
