,01.03.2026 21:29:20,01.03.2026 21:33:41,02.03.2026 04:50:18,03.03.2026 04:48:42,04.03.2026 04:42:16,05.03.2026 04:46:33,06.03.2026 04:44:02,07.03.2026 04:23:04,08.03.2026 04:44:57,09.03.2026 04:53:41,10.03.2026 04:44:02,11.03.2026 04:45:02,13.03.2026 04:46:18,14.03.2026 04:44:17,15.03.2026 05:07:51,16.03.2026 05:17:54,17.03.2026 04:53:47,18.03.2026 04:58:33,19.03.2026 04:56:29,20.03.2026 04:49:16,21.03.2026 04:27:59,22.03.2026 04:54:28,22.03.2026 19:01:20,22.03.2026 19:26:24,23.03.2026 05:05:39,24.03.2026 04:55:31,25.03.2026 04:56:04,26.03.2026 05:08:42,27.03.2026 05:09:19,28.03.2026 04:54:49,29.03.2026 05:12:38,30.03.2026 05:27:29,31.03.2026 05:11:09,01.04.2026 05:26:58,02.04.2026 05:05:09,03.04.2026 05:06:42,04.04.2026 04:52:08,05.04.2026 05:14:08,06.04.2026 05:26:50,07.04.2026 05:11:19,08.04.2026 05:13:19,09.04.2026 05:11:41,10.04.2026 05:27:33,11.04.2026 04:57:50,12.04.2026 05:25:52,13.04.2026 05:44:15,14.04.2026 05:26:06,15.04.2026 05:26:29,16.04.2026 05:32:52,17.04.2026 05:30:28,18.04.2026 05:08:47,19.04.2026 05:31:31,20.04.2026 05:43:56,21.04.2026 05:29:15,22.04.2026 05:28:26,23.04.2026 05:32:42,24.04.2026 05:37:40,25.04.2026 05:13:33,26.04.2026 05:41:52,27.04.2026 05:57:07,28.04.2026 06:09:20,29.04.2026 05:56:44,30.04.2026 06:07:47
05.03.2026 - 16.03.2026,,,6927,7233,5331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.03.2026 - 27.03.2026,8059,8059,8059,8173,8241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2026 - 16.11.2026,7985,7985,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7992,7985,7992,7992,7992
15.11.2026 - 27.11.2026,7509,7509,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7520,7509,7520,7520,7644
26.11.2026 - 07.12.2026,7283,7283,7289,7289,7289,7289,7289,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7517,7511,7517,7517,7517
06.12.2026 - 18.12.2026,7337,7337,7348,7348,7348,7348,7348,7348,7348,7348,7582,7696,7696,7725,7725,7725,7725,7840,7840,7840,7840,7840,7840,7840,7840,7840,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,7954,8317,7954,8068,8068,8068,8068,8068,8068,8068,8431,8636,8273,8273,8273,8261,8273,8273,8273
17.12.2026 - 28.12.2026,8677,8677,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8683,8677,8683,8683,8683
27.12.2026 - 08.01.2027,9207,9207,9219,9219,9219,9346,9346,9346,9346,9346,9346,9346,9346,9346,9346,9346,9346,9346,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9459,9573,9687,9687,9687,9687,9687,9687,9687,9687,9800,9800,9800,9800,9800,9800,9800,9800,9788,9800,9800,9800
07.01.2027 - 18.01.2027,7813,7813,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7818,7933,7933,7933,7933,7933,7933,7933,7933,7933,7933,7933,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8033,8027,8033,8033,8033
17.01.2027 - 29.01.2027,8601,8601,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8613,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8728,8928,8928,8928,8928,8928,9042,9383,9611,9611,9611,9598,9611,9611,9611
