,01.03.2026 21:29:35,01.03.2026 21:33:55,02.03.2026 04:50:33,03.03.2026 04:48:57,04.03.2026 04:42:30,05.03.2026 04:46:48,06.03.2026 04:44:16,07.03.2026 04:23:18,08.03.2026 04:45:12,09.03.2026 04:53:57,10.03.2026 04:44:17,11.03.2026 04:45:17,13.03.2026 04:46:33,14.03.2026 04:44:32,15.03.2026 05:08:06,16.03.2026 05:18:08,17.03.2026 04:54:02,18.03.2026 04:58:48,19.03.2026 04:56:43,20.03.2026 04:49:32,21.03.2026 04:28:15,22.03.2026 04:54:43,22.03.2026 19:01:35,22.03.2026 19:26:35,23.03.2026 05:05:54,24.03.2026 04:55:47,25.03.2026 04:56:18,26.03.2026 05:08:58,27.03.2026 05:09:34,28.03.2026 04:55:03,29.03.2026 05:12:52,30.03.2026 05:27:45,31.03.2026 05:11:23,01.04.2026 05:27:14,02.04.2026 05:05:23,03.04.2026 05:06:56,04.04.2026 04:52:23,05.04.2026 05:14:22,06.04.2026 05:27:04
05.03.2026 - 16.03.2026,5594,5594,5994,6350,4760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.03.2026 - 27.03.2026,8163,8163,8163,8163,8474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2026 - 16.11.2026,7680,7680,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683,7683
15.11.2026 - 27.11.2026,7192,7192,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197,7197
26.11.2026 - 07.12.2026,6965,6965,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,6968,7092,7092,7092,7092,7092,7092,7092,7208,7325,7325,7325,7325,7325,7325,7325,7325,7325,7325,7325,7325,7325
06.12.2026 - 18.12.2026,7017,7017,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,7022,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7505,7505,7505,7505,7505,7505,7505,7505,7505,7505,7505,7505
17.12.2026 - 28.12.2026,8359,8359,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362,8362
27.12.2026 - 08.01.2027,8893,8893,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,8898,9033,9033,9033,9033,9033,9033,9033,9033
07.01.2027 - 18.01.2027,7514,7514,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516,7516
17.01.2027 - 29.01.2027,8313,8313,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318,8318
28.01.2027 - 08.02.2027,8093,8093,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8095,8225,8225,8225,8225,8225,8225,8225,8225,8225,8225,8225,8225,8225,8225
07.02.2027 - 19.02.2027,8259,8259,8264,8394,8394,8394,8394,8394,8394,8394,8394,8394,8394,8394,8394,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510,8510
18.02.2027 - 01.03.2027,7746,7746,7749,7749,7749,7749,7749,7749,7749,7749,7749,7874,7874,7874,7874,7874,7874,7874,7874,7874,7874,7874,7874,7874,7874,7874,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990
28.02.2027 - 12.03.2027,7981,7981,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986,7986
11.03.2027 - 22.03.2027,7251,7251,7254,7254,7254,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7446,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562,7562
21.03.2027 - 02.04.2027,7716,7716,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7721,7836,7836,7836,7836,7836,7836
