,01.03.2026 21:29:43,01.03.2026 21:34:03,02.03.2026 04:50:41,03.03.2026 04:49:04,04.03.2026 04:42:37,05.03.2026 04:46:55,06.03.2026 04:44:24,07.03.2026 04:23:25,08.03.2026 04:45:20,09.03.2026 04:54:04,10.03.2026 04:44:24,11.03.2026 04:45:24,13.03.2026 04:46:41,14.03.2026 04:44:39,15.03.2026 05:08:14,16.03.2026 05:18:15,17.03.2026 04:54:10,18.03.2026 04:58:56,19.03.2026 04:56:50
05.03.2026 - 16.03.2026,4400,4400,4800,5112,3846,,,,,,,,,,,,,,
15.03.2026 - 27.03.2026,6764,6764,6764,6764,6989,,,,,,,,,,,,,,
05.11.2026 - 16.11.2026,6549,6549,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552,6552
15.11.2026 - 27.11.2026,6038,6038,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043
26.11.2026 - 07.12.2026,5887,5887,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5889,5999
06.12.2026 - 18.12.2026,5863,5863,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,6188,6188
17.12.2026 - 28.12.2026,7138,7138,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141,7141
27.12.2026 - 08.01.2027,7572,7572,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577,7577
07.01.2027 - 18.01.2027,6356,6356,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359,6359
17.01.2027 - 29.01.2027,7002,7002,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007,7007
28.01.2027 - 08.02.2027,6892,6892,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895,6895
07.02.2027 - 19.02.2027,6948,6948,6953,7068,7068,7068,7068,7068,7068,7068,7068,7068,7068,7068,7068,7170,7170,7170,7170
18.02.2027 - 01.03.2027,6546,6546,6549,6549,6549,6549,6549,6549,6549,6549,6549,6659,6659,6659,6659,6659,6659,6659,6659
28.02.2027 - 12.03.2027,6711,6711,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716,6716
11.03.2027 - 22.03.2027,6121,6121,6124,6124,6124,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242,6242
21.03.2027 - 02.04.2027,6421,6421,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426,6426
