,01.03.2026 21:29:43,01.03.2026 21:34:03,02.03.2026 04:50:41,03.03.2026 04:49:04,04.03.2026 04:42:37,05.03.2026 04:46:55,06.03.2026 04:44:24,07.03.2026 04:23:25,08.03.2026 04:45:20,09.03.2026 04:54:04,10.03.2026 04:44:24,11.03.2026 04:45:24,13.03.2026 04:46:41,14.03.2026 04:44:39,15.03.2026 05:08:14,16.03.2026 05:18:15,17.03.2026 04:54:10,18.03.2026 04:58:56,19.03.2026 04:56:50,20.03.2026 04:49:40,21.03.2026 04:28:23,22.03.2026 04:54:51,22.03.2026 19:01:41,22.03.2026 19:26:40,23.03.2026 05:06:02,24.03.2026 04:55:55,25.03.2026 04:56:25,26.03.2026 05:09:05,27.03.2026 05:09:42,28.03.2026 04:55:10,29.03.2026 05:12:59,30.03.2026 05:27:53,31.03.2026 05:11:30,01.04.2026 05:27:22,02.04.2026 05:05:30,03.04.2026 05:07:03,04.04.2026 04:52:31,05.04.2026 05:14:30,06.04.2026 05:27:11,07.04.2026 05:11:39,08.04.2026 05:13:40,09.04.2026 05:12:02,10.04.2026 05:27:58,11.04.2026 04:58:13,12.04.2026 05:26:13,13.04.2026 05:44:37,14.04.2026 05:26:30,15.04.2026 05:26:51,16.04.2026 05:33:13
05.03.2026 - 16.03.2026,4440,4440,4840,4940,4107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.03.2026 - 27.03.2026,6931,6931,6931,6831,7044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.03.2026 - 07.04.2026,6131,6131,6131,6131,5705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2026 - 16.11.2026,6709,6709,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711,6711
15.11.2026 - 27.11.2026,6209,6209,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6213,6328,6328,6328,6328,6328,6328,6328,6328,6328
26.11.2026 - 07.12.2026,6059,6059,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6061,6168,6168,6168,6168,6168,6168,6168,6268,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369
06.12.2026 - 18.12.2026,6038,6038,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6043,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6458,6578,6458,6458,6558
17.12.2026 - 28.12.2026,7200,7200,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203,7203
27.12.2026 - 08.01.2027,7629,7629,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7634,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750
07.01.2027 - 18.01.2027,6426,6426,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429,6429
