,16.03.2025 22:28:19,17.03.2025 03:37:24,17.03.2025 21:19:56,18.03.2025 03:37:22,19.03.2025 03:36:42,20.03.2025 03:35:18,21.03.2025 03:37:22,22.03.2025 03:39:20
27.03 - 08.04,,,,,,4879,4629,4400
30.10 - 10.11,6579,6579,6579,6579,6579,,,
09.11 - 21.11,,,,,,7200,7200,7200
20.11 - 01.12,6480,6480,6480,6551,6551,,,
30.11 - 12.12,,,,,,6601,6601,6601
11.12 - 22.12,7411,7411,6301,6301,6301,,,
21.12 - 02.01,,,,,,8254,8254,8254
01.01 - 12.01,6971,6971,6921,6921,6921,,,
11.01 - 23.01,,,,,,7022,6972,6972
22.01 - 02.02,,,7201,7201,7201,,,
01.02 - 13.02,,,,,,7330,7330,7330
12.02 - 23.02,7130,7130,7130,7130,7130,,,
22.02 - 06.03,,,,,,7351,7351,7351
05.03 - 16.03,,,6632,6632,6632,,,
15.03 - 27.03,,,,,,6730,6730,6730
