,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00,16.03.2026 05:17:08,17.03.2026 04:52:55,18.03.2026 04:57:44,19.03.2026 04:55:44,20.03.2026 04:48:22,21.03.2026 04:27:06,22.03.2026 04:53:30,22.03.2026 19:00:34,22.03.2026 19:25:55,23.03.2026 05:04:43,24.03.2026 04:54:37,25.03.2026 04:55:19,26.03.2026 05:07:52,27.03.2026 05:08:29,28.03.2026 04:54:04,29.03.2026 05:11:53,30.03.2026 05:26:39,31.03.2026 05:10:23,01.04.2026 05:26:04,02.04.2026 05:04:23,03.04.2026 05:05:58,04.04.2026 04:51:18,05.04.2026 05:13:22,06.04.2026 05:26:00,07.04.2026 05:10:33,08.04.2026 05:12:34,09.04.2026 05:10:56,10.04.2026 05:26:39,11.04.2026 04:57:00,12.04.2026 05:25:07,13.04.2026 05:43:27,14.04.2026 05:25:14,15.04.2026 05:25:39,16.04.2026 05:32:06,17.04.2026 05:29:37,18.04.2026 05:08:01,19.04.2026 05:30:34,20.04.2026 05:43:09,21.04.2026 05:28:29,22.04.2026 05:27:14,23.04.2026 05:31:53,24.04.2026 05:36:46,25.04.2026 05:12:48,26.04.2026 05:41:02,27.04.2026 05:56:15,28.04.2026 06:08:33
28.05.2026 - 04.06.2026,4111,4111,4111,4111,4109,4109,4109,4109,4109,4109,4109,4259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3792,3847,3847,3848,3847
28.05.2026 - 11.06.2026,5403,5403,5403,5403,5417,5417,5417,5417,5417,5417,5417,5567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5097,5152,5152,5139,5152
04.06.2026 - 11.06.2026,4406,4406,4406,4406,4404,4404,4404,4404,4404,4404,4404,4504,4437,4437,4437,4437,4437,4437,4491,4491,4491,4491,4491,4491,4491,4491,4491,4491,3760,3760,3760,3760,3760,3760,3760,3760,3651,3651,3651,3651,3651,3651,3651,3651,3651,3651,3597,3597,3597,3597,3597,3597,3597,3543,3543,3543,3597,3740,3740,3741,3522
04.06.2026 - 18.06.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5278,5278,5278,5278,5169,5169,5169,5169,5169,5169,5169,5169,5169,5169,5133,5133,5133,5133,5133,5133,5133,5079,5079,5079,5133,5276,5276,5264,5058
11.06.2026 - 18.06.2026,4215,4215,4215,4215,4213,4213,4213,4213,4213,4213,4213,4313,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,4236,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3577,3577,3577,3577,3523,3523,3523,3523,3523,3523,3523,3718,3718,3719,3718
11.06.2026 - 25.06.2026,5418,5418,5418,5418,5432,5432,5432,5432,5432,5432,5432,5532,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5454,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,5149,4944,4944,4944,4944,4889,4889,4889,4889,4889,4889,4889,5085,5085,5073,5085
18.06.2026 - 25.06.2026,4269,4269,4269,4269,4267,4267,4267,4267,4267,4267,4267,4367,4290,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4345,4399,4399,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,3931,4041,4041,4041,4041,4041,4041,4041,4041,3986,4041,4041,4236,4236,4237,4236
18.06.2026 - 02.07.2026,5700,5700,5700,5700,5749,5749,5749,5749,5749,5749,5749,5849,5771,5826,5826,5826,5826,5826,5826,5826,5826,5826,5826,5826,5826,5826,5881,5881,5408,5408,5408,5408,5408,5421,5421,5421,5421,5421,5421,5421,5421,5421,5421,5421,5421,5421,5531,5531,5531,5531,5531,5531,5531,5531,5476,5531,5531,5728,5812,5799,5812
25.06.2026 - 02.07.2026,3660,3660,3660,3660,3658,3658,3658,3658,3658,3658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2026 - 09.07.2026,5389,5389,5389,5389,5401,5401,5401,5401,5401,5401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
