,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25,07.03.2026 04:22:29,08.03.2026 04:44:19,09.03.2026 04:53:04,10.03.2026 04:43:24,11.03.2026 04:44:28,13.03.2026 04:45:40,14.03.2026 04:43:42,15.03.2026 05:07:11,16.03.2026 05:17:19,17.03.2026 04:53:07,18.03.2026 04:57:55,19.03.2026 04:55:55,20.03.2026 04:48:34,21.03.2026 04:27:18,22.03.2026 04:53:43,22.03.2026 19:00:45,22.03.2026 19:26:03,23.03.2026 05:04:55,24.03.2026 04:54:50,25.03.2026 04:55:30,26.03.2026 05:08:03,27.03.2026 05:08:40,28.03.2026 04:54:15,29.03.2026 05:12:04
28.05.2026 - 04.06.2026,3779,3779,3779,3779,3778,3778,3778,3778,3778,3778,3778,3928,3849,3849,3849,3849,3849,3849,3849,3649,3649,3649,3649,3649,3649,3649,3370,3370,3470,3349,3149
04.06.2026 - 11.06.2026,4063,4063,4063,4063,4062,4062,4062,4062,4062,4062,4062,4162,4100,4100,4100,4100,4100,4100,4150,4150,4150,4150,4150,4150,4150,4150,4150,4150,3479,3479,3479
11.06.2026 - 18.06.2026,3902,3902,3902,3902,3901,3901,3901,3901,3901,3901,3901,4001,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3929,3650,3650,3650
18.06.2026 - 25.06.2026,3952,3952,3952,3952,3950,3950,3950,3950,3950,3950,3950,4050,3979,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4029,4079,4079,3650,3650,3650
25.06.2026 - 02.07.2026,3365,3365,3365,3365,3364,3364,3364,3364,3364,3364,3421,3521,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3321,3321,3321
02.07.2026 - 09.07.2026,3749,3749,3749,3749,3747,3747,3747,3747,3747,3747,3747,3847,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3580,3580
02.07.2026 - 16.07.2026,4855,4855,4855,4855,4868,4868,4873,4868,4868,4868,4868,4968,4901,4901,4901,4901,4901,4906,4906,4906,4906,4906,4906,4906,4906,4906,4906,4906,4906,4704,4704
09.07.2026 - 16.07.2026,3552,3552,3552,3552,3550,3550,3550,3550,3550,3550,3550,3650,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3579,3629,3629
16.07.2026 - 23.07.2026,3605,3605,3605,3605,3603,3679,3679,3679,3679,3679,3679,3779,3700,3700,3700,3700,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750,3750
23.07.2026 - 30.07.2026,3508,3508,3508,3508,3507,3507,3507,3507,3507,3507,3479,3579,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
30.07.2026 - 06.08.2026,3715,3715,3715,3715,3714,3714,3714,3714,3714,3714,3714,3814,3750,3750,3750,3750,3750,3750,3750,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3900,3900
30.07.2026 - 13.08.2026,5015,5015,5015,5015,5030,5030,5250,5030,5030,5030,5030,5130,5066,5116,5116,5116,5116,5190,5190,5240,5240,5240,5240,5240,5240,5240,5240,5240,5387,5487,5487
06.08.2026 - 13.08.2026,3914,3914,3914,3914,3912,3912,3912,3912,3912,3912,3912,4012,3950,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4050,4150,4150
13.08.2026 - 20.08.2026,3353,3353,3353,3353,3351,3351,3351,3351,3351,3351,3351,3451,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379,3379
20.08.2026 - 27.08.2026,3528,3528,3528,3528,3527,3527,3527,3527,3527,3527,3527,3627,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3550,3350,3350
27.08.2026 - 03.09.2026,3580,3580,3580,3580,3578,3578,3578,3578,3630,3630,3630,3730,3651,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001,4001
03.09.2026 - 10.09.2026,3981,3981,3981,3981,3980,3980,3980,3980,3980,3980,3980,4180,4030,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4380,4380
10.09.2026 - 17.09.2026,3981,3981,3981,3981,3979,3979,3979,3979,3979,3979,3979,4179,4129,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4179,4279,4279
17.09.2026 - 24.09.2026,3763,3763,3763,3763,3762,3762,3762,3762,3762,3762,3762,3962,3829,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079,4079
24.09.2026 - 01.10.2026,4015,4015,4015,4015,4013,4013,4013,4080,4080,4080,4080,4280,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4130,4230,4230
