,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00
05.03.2026 - 19.03.2026,4595,4595,4795,,,,,,,,,,,,
12.03.2026 - 19.03.2026,,,,,,4241,3972,3157,2672,2425,2079,1474,,,
12.03.2026 - 26.03.2026,,,,,,5992,5623,4501,4017,4055,3982,3478,,,
19.03.2026 - 26.03.2026,3596,3596,3796,3796,4205,4225,,3493,3214,3192,2586,2602,2749,2588,2207
19.03.2026 - 02.04.2026,4729,4729,4929,4929,,,,5270,4991,4968,4712,4728,4874,4441,4059
26.03.2026 - 02.04.2026,3406,3406,3606,3606,3794,4037,3837,3441,3210,3410,3048,3268,2682,2628,2482
26.03.2026 - 09.04.2026,4544,4544,4744,4744,4950,5193,4993,4594,4363,4563,4197,,,4169,4022
02.04.2026 - 09.04.2026,3582,3582,3582,3624,3779,3986,3896,3833,3833,3833,3779,3797,3447,3424,3224
02.04.2026 - 16.04.2026,4860,4860,4860,4903,5074,5281,5191,5127,5127,5127,5074,4992,5173,5151,4951
09.04.2026 - 16.04.2026,3788,3788,3788,3819,3783,4068,3890,3654,3654,3688,3281,3121,2835,2935,2808
09.04.2026 - 23.04.2026,,,,,,,,4962,4962,4995,4587,4427,4671,4771,4645
16.04.2026 - 30.04.2026,4962,4962,4962,4996,,,,,,,,,,,
16.04.2026 - 23.04.2026,,,,,3844,,3794,3654,3654,3654,3410,3197,3281,3435,3235
23.04.2026 - 30.04.2026,4668,4668,4668,,,,,3812,,,,,,,
23.04.2026 - 07.05.2026,5701,5701,5701,,,,,4858,,,,,,,
30.04.2026 - 07.05.2026,4043,4043,4043,4043,4041,4041,4041,4094,4094,4094,4094,4294,,,
30.04.2026 - 14.05.2026,4984,4984,4984,4984,4999,4999,4999,5051,5051,5051,5051,5251,,,
30.04.2026 - 08.05.2026,,,,,,,,,,,,,4138,4138,4138
30.04.2026 - 15.05.2026,,,,,,,,,,,,,5097,5197,5197
07.05.2026 - 14.05.2026,3649,3649,3649,3649,3648,3648,3648,3753,3753,3753,3753,3903,,,
07.05.2026 - 21.05.2026,,,,,,,,,,,4757,4907,,,
07.05.2026 - 15.05.2026,,,,,,,,,,,,,3778,4028,4028
07.05.2026 - 22.05.2026,,,,,,,,,,,,,4781,5031,5031
14.05.2026 - 21.05.2026,3806,3806,3806,3806,3804,3804,3804,3804,3804,3804,3804,3954,,,
14.05.2026 - 29.05.2026,,,,,,,4917,4917,4917,4917,4917,5067,4957,5057,5057
14.05.2026 - 22.05.2026,,,,,,,,,,,,,3847,4047,4047
21.05.2026 - 29.05.2026,4217,4217,4217,4217,4217,4217,4217,4217,4217,4217,4217,4367,4198,4198,4198
21.05.2026 - 05.06.2026,,,,,,,,,,,,,5083,5083,5083
28.05.2026 - 05.06.2026,3884,3884,3884,3884,3885,3885,3885,3885,3885,3885,3885,4035,,,
04.06.2026 - 12.06.2026,4572,4572,4572,4572,4573,4573,4573,4573,4573,4573,4573,4673,4608,4608,4608
04.06.2026 - 19.06.2026,5913,5913,5913,5913,5930,5930,5762,5549,5549,5549,5549,5649,5584,5584,5584
11.06.2026 - 19.06.2026,3735,3735,3735,3735,3736,3736,3736,3736,3736,3736,3736,3836,3761,3761,3761
18.06.2026 - 26.06.2026,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3848,3948,3873,3926,3926
18.06.2026 - 03.07.2026,5448,5448,5448,5448,,,,,,,,,,,
25.06.2026 - 03.07.2026,3564,3564,3564,3564,3565,3565,3565,3565,3565,3565,,,,,
25.06.2026 - 10.07.2026,5172,5172,5172,5172,5187,5187,5187,5187,5187,5187,,,,,
02.07.2026 - 10.07.2026,3681,3681,3681,3681,3682,3682,3682,3682,,,3682,3782,3711,3861,3861
02.07.2026 - 17.07.2026,5210,5210,5210,5210,5225,5225,5225,5225,,,5225,5325,5253,5353,5353
09.07.2026 - 17.07.2026,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3741,3841,3766,3766,3766
09.07.2026 - 24.07.2026,5297,5297,5297,5297,5313,5313,5384,5313,5313,5313,5313,5413,5338,5338,5338
16.07.2026 - 24.07.2026,3746,3746,3746,3746,3747,3827,3827,3827,3827,3827,3827,3927,3844,3844,3844
16.07.2026 - 31.07.2026,5765,5765,5765,,,,,,,,,,,,
23.07.2026 - 31.07.2026,,,,,,,,,,,3827,3927,3844,3844,3844
23.07.2026 - 07.08.2026,,,,,,,,,,,5824,5924,5840,5840,5840
30.07.2026 - 07.08.2026,4173,4173,4173,4173,4174,4174,4174,4174,4174,4174,4174,4274,4207,4207,4207
30.07.2026 - 14.08.2026,5730,5730,5730,5730,5747,5747,6015,5747,5747,5747,5747,5847,5780,5780,5780
13.08.2026 - 21.08.2026,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3692,3792,3716,3716,3716
13.08.2026 - 28.08.2026,5241,5241,5241,5241,5256,5256,5530,5256,5256,5256,5256,5356,5280,5280,5280
27.08.2026 - 04.09.2026,3799,3799,3799,3799,3800,3800,3800,3800,3854,3854,3854,3954,3871,3871,3871
27.08.2026 - 11.09.2026,,,,,,,,,,,5005,5105,,,
03.09.2026 - 11.09.2026,4064,4064,4064,4064,4065,4065,4065,4065,4065,4065,4065,4265,4107,4107,4107
17.09.2026 - 25.09.2026,3972,3972,3972,3972,3973,3973,3973,3973,3973,3973,3973,4173,4033,4033,4033
24.09.2026 - 02.10.2026,3876,3876,3876,3876,3877,3877,3877,3947,3947,3947,3947,4147,3989,3989,3989
01.10.2026 - 08.10.2026,3331,3331,3331,3331,3330,3330,3330,3330,3330,3330,3330,3580,3374,3374,3374
08.10.2026 - 15.10.2026,3338,3338,3338,3338,3336,3336,3336,3336,3336,3336,3336,3586,3375,3425,3425
15.10.2026 - 22.10.2026,3664,3664,3664,3664,3663,3663,3663,3663,3663,3663,3663,3913,3701,3754,3754
15.10.2026 - 29.10.2026,4380,4380,4380,4380,4393,4393,4393,4393,4393,4393,4393,4643,4431,4484,4484
22.10.2026 - 29.10.2026,3339,3339,3339,3339,3337,3337,3337,3337,3337,3337,3337,3587,3379,3379,3379
22.10.2026 - 05.11.2026,4387,4387,4387,4387,4399,4399,4399,4399,4399,4399,4399,4649,4446,4446,4446
29.10.2026 - 05.11.2026,3241,3241,3241,3241,3240,3240,3240,3240,3240,3240,3240,3490,3293,3293,3293
