,07.02.2025 21:16:53,08.02.2025 03:23:33,09.02.2025 03:25:56,10.02.2025 03:27:22,11.02.2025 03:26:07,12.02.2025 03:25:34,13.02.2025 03:25:49,14.02.2025 03:25:59,15.02.2025 03:26:27,16.02.2025 03:28:13,17.02.2025 03:28:39,18.02.2025 03:25:14,19.02.2025 03:29:07,19.02.2025 22:12:58,20.02.2025 03:27:02,21.02.2025 03:27:31,22.02.2025 03:24:55,23.02.2025 03:28:14,24.02.2025 03:30:22,25.02.2025 03:29:51,26.02.2025 03:29:38,27.02.2025 03:29:55,27.02.2025 23:26:57
06.03 - 13.03,3572,3572,3572,3572,,3668,3648,3648,3600,3400,3600,3574,3574,3670,3670,3670,3457,3429,3313,3507,3537,3507,3507
13.03 - 20.03,,,,,3517,3517,3517,3517,3372,3372,3372,3372,3372,,,3400,,,,,,,
20.03 - 27.03,3678,3678,3678,3678,3658,3687,3687,3754,3604,3604,3604,3634,3634,3672,3672,3700,3672,3730,3730,3923,3893,3893,3893
27.03 - 03.04,3356,3356,3356,3356,3132,3208,3208,3208,3208,3208,3208,3208,3208,3277,3277,3304,3373,,,,3690,3690,3662
03.04 - 10.04,,,,,,,4182,4182,4182,4182,4182,4182,4182,4182,,4182,4230,4230,4230,4260,4260,4260,4298
10.04 - 17.04,3577,3577,3577,3577,3635,3701,,,,,,,,3801,3801,3801,3831,3831,3831,3831,3831,3870,3966
17.04 - 24.04,4053,4053,4092,4092,4150,4150,4169,4169,4169,4119,4119,4119,4119,4119,,4119,4167,4167,4216,4216,4216,4188,4188
24.04 - 01.05,3809,3809,3809,3809,3809,3809,3809,3809,3809,3809,3809,3809,3809,,,3878,3878,3878,3878,3878,3878,3928,3928
01.05 - 08.05,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3819,3819,3819,3819,3819,3819,3847,3847,3847,3819,3869,3869
08.05 - 15.05,3613,3613,3613,3613,3613,3660,3660,3632,3632,3632,3632,3632,3632,3632,3632,3632,3632,3660,3660,3660,3660,3710,3710
15.05 - 22.05,3493,3493,3493,3493,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3463,3513,3513
22.05 - 29.05,3341,3341,3341,3341,3341,3341,3341,3341,3341,3341,3341,3341,3369,3399,3399,3438,3438,3438,3438,3438,3438,3516,3516
29.05 - 05.06,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3362,3459,3459,3459,3459,3489,3489,3539,3539
05.06 - 12.06,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3389,3428,3428,3428,3428,3428,3457,3457
12.06 - 19.06,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3481,3481,3511,3511
19.06 - 26.06,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3432,3482,3482
26.06 - 03.07,3331,3331,3331,3331,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3340,3310,3360,3360
03.07 - 10.07,3605,3605,3605,3605,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3703,3703
10.07 - 17.07,3409,3409,3409,3409,3409,3430,3430,3430,3458,3458,3458,3458,3458,3458,3506,3506,3506,3506,3506,3506,3506,3556,3556
17.07 - 24.07,3406,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3378,3428,3486
24.07 - 31.07,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3439,3506,3506,3506,3506,3506,3506,3506,3506,3556,3556
31.07 - 07.08,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3281,3339,3339,3339,3339,3389,3389
07.08 - 14.08,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3717,3767,3767
14.08 - 21.08,3281,3281,3378,3378,3378,3358,3358,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3330,3380,3380
21.08 - 28.08,3508,3508,3508,3508,3508,3508,3508,3508,3508,3556,3556,3556,3556,3556,3556,3556,3556,3556,3556,3586,3586,3636,3703
28.08 - 04.09,3240,3240,3240,3240,3182,3182,3182,3210,3210,3210,3210,3210,3210,3182,3182,3210,3210,3210,3210,3210,3182,3212,3212
04.09 - 11.09,3182,3182,3182,3182,3376,3376,3376,3376,3376,3404,3404,3404,3404,,,3404,3404,3404,3404,3404,3404,3426,3426
11.09 - 18.09,3358,3358,3358,3358,3552,3552,3552,3582,3582,3582,3582,3552,3552,3552,3552,3552,3582,3582,3582,3621,3621,3671,3671
18.09 - 25.09,3552,3552,3552,3552,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3746,3796,3796
25.09 - 02.10,3411,3411,3411,3411,3605,3605,3605,3635,3605,3605,3605,3605,3605,,,3605,3605,3605,3605,3605,3605,3655,3655
02.10 - 09.10,3132,3132,3132,3132,3180,3180,3152,3152,3152,3180,3180,3152,3152,3152,3152,3152,3152,3152,3152,3152,3152,3202,3202
09.10 - 16.10,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3284,3284,3284,3284,3284,3284,3334,3334
16.10 - 23.10,2959,2959,2959,2959,2959,2959,2959,2959,2959,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3159,3209,3209
23.10 - 30.10,2908,2908,2908,2908,2908,,,2908,,,,3508,3508,3508,3508,3508,3508,3508,3508,3508,3508,,
30.10 - 06.11,2877,2877,2877,2877,2877,2877,2877,2877,2877,2935,2935,2935,2935,2935,2935,2880,2880,2880,2880,2880,2880,2930,2930
27.02 - 06.03,,,,,,,,,,,,,,,,3424,3424,3307,3199,,,,
