,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25,07.03.2026 04:22:29,08.03.2026 04:44:19,09.03.2026 04:53:04,10.03.2026 04:43:24,11.03.2026 04:44:28,13.03.2026 04:45:40,14.03.2026 04:43:42,15.03.2026 05:07:11,16.03.2026 05:17:19,17.03.2026 04:53:07,18.03.2026 04:57:55,19.03.2026 04:55:55,20.03.2026 04:48:34,21.03.2026 04:27:18,22.03.2026 04:53:43,22.03.2026 19:00:45,22.03.2026 19:26:03,23.03.2026 05:04:55,24.03.2026 04:54:50,25.03.2026 04:55:30,26.03.2026 05:08:03,27.03.2026 05:08:40
30.04.2026 - 07.05.2026,4258,4258,4258,4258,4256,4256,4256,4305,4305,4305,4305,4505,4358,4358,4358,4358,4309,4358,4358,4112,4603,4603,4603,4603,4603,4112,4211,3720,3720
30.04.2026 - 14.05.2026,4953,4953,4953,4953,4968,4968,5050,5017,5017,5017,5017,5217,5071,5071,5071,5071,5022,5071,5071,4828,5314,5314,5314,5314,5314,4828,4925,4438,4520
07.05.2026 - 14.05.2026,3839,3839,3839,3839,3837,3837,3837,3936,3936,3936,3936,4086,3967,3967,3967,3967,3967,3967,3967,3967,3967,3918,3918,3918,3918,3967,3938,3938,3938
07.05.2026 - 21.05.2026,,,,,,,,,,,,,,,,,,,,,,,,,,4775,4747,4747,4829
14.05.2026 - 21.05.2026,4041,4041,4041,4041,4040,4040,4040,4040,4040,4040,4040,4190,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,4088,3892,4137,4137,4137
28.05.2026 - 04.06.2026,4010,4010,4010,4010,4008,4008,4008,4008,4008,4008,4008,4158,4081,4081,4081,4081,4081,4081,4081,3884,3884,3884,3884,3884,3884,3884,3608,3608,3707
04.06.2026 - 11.06.2026,3761,3761,3761,3761,3760,3760,3760,3760,3760,3760,3760,3860,3799,3799,3799,3799,3799,3799,3848,3848,3848,3848,3848,3848,3848,3848,3898,3898,3236
04.06.2026 - 18.06.2026,4923,4923,4923,4923,,,,,,,,,,,,,,,,,,,,,,,,,
18.06.2026 - 25.06.2026,3905,3905,3905,3905,3903,3903,3903,3903,3903,3903,3903,4003,3933,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,3982,4032,4032,3608
25.06.2026 - 02.07.2026,3600,3600,3600,3600,3599,3599,3599,3599,3599,3599,3655,3755,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3685,3557
