,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00,16.03.2026 05:17:08,17.03.2026 04:52:55,18.03.2026 04:57:44,19.03.2026 04:55:44,20.03.2026 04:48:22,21.03.2026 04:27:06,22.03.2026 04:53:30,22.03.2026 19:00:34,22.03.2026 19:25:55,23.03.2026 05:04:43,24.03.2026 04:54:37,25.03.2026 04:55:19,26.03.2026 05:07:52,27.03.2026 05:08:29,28.03.2026 04:54:04,29.03.2026 05:11:53,30.03.2026 05:26:39,31.03.2026 05:10:23,01.04.2026 05:26:04,02.04.2026 05:04:23,03.04.2026 05:05:58,04.04.2026 04:51:18,05.04.2026 05:13:22,06.04.2026 05:26:00,07.04.2026 05:10:33,08.04.2026 05:12:34,09.04.2026 05:10:56,10.04.2026 05:26:39,11.04.2026 04:57:00,12.04.2026 05:25:07,13.04.2026 05:43:27,14.04.2026 05:25:14,15.04.2026 05:25:39,16.04.2026 05:32:06,17.04.2026 05:29:37,18.04.2026 05:08:01,19.04.2026 05:30:34,20.04.2026 05:43:09,21.04.2026 05:28:29,22.04.2026 05:27:14,23.04.2026 05:31:53,24.04.2026 05:36:46,25.04.2026 05:12:48,26.04.2026 05:41:02,27.04.2026 05:56:15,28.04.2026 06:08:33,29.04.2026 05:55:58,30.04.2026 06:06:55,01.05.2026 06:17:22,02.05.2026 05:38:02,03.05.2026 06:06:18,04.05.2026 06:15:13,05.05.2026 05:44:50,06.05.2026 06:06:45,07.05.2026 06:12:25,08.05.2026 05:31:49,09.05.2026 05:49:56,10.05.2026 06:13:24,11.05.2026 06:40:47,12.05.2026 06:15:46,13.05.2026 06:27:26,14.05.2026 06:26:06,15.05.2026 06:35:01,16.05.2026 05:56:06,17.05.2026 04:27:56,18.05.2026 04:32:41,19.05.2026 04:29:01,20.05.2026 04:30:30,22.05.2026 04:30:11,23.05.2026 04:20:19,24.05.2026 04:31:46,25.05.2026 04:34:59,26.05.2026 04:29:22,27.05.2026 04:34:02,28.05.2026 04:31:13,29.05.2026 04:32:57
28.05.2026 - 04.06.2026,4214,4214,4214,4214,4212,4212,4212,4212,4212,4212,4212,4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3954,4007,4007,4009,4007,4007,4007,3957,3957,3957,3957,3500,3550,3390,3443,3834,3634,3834,3884,3991,3991,3991,3831,3531,3831,3397,3183,2973,,,,,,,
28.05.2026 - 11.06.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4782,4835,5159,4959,5159,5209,5317,5317,5647,5485,5185,5485,5120,4904,5422,,,,,,,
04.06.2026 - 11.06.2026,4124,4124,4124,4124,4123,4123,4123,4123,4123,4123,4123,4223,4157,4307,4307,4307,4307,4307,4360,4360,4360,4360,4360,4360,4360,4360,4360,4360,3644,3644,3644,3644,3644,3644,3644,3644,3537,3537,3537,3537,3537,3587,3587,3587,3587,3587,3533,3533,3533,3533,3533,3533,3533,3480,3480,3480,3533,3673,3673,3675,3460,3533,3533,3533,3533,3533,3533,3533,3333,3587,3480,3800,3600,3800,3800,3907,3694,3747,3854,3654,3854,3640,3747,3858,3858,3658,3911,3751,3377,,
04.06.2026 - 18.06.2026,5795,5795,5795,5795,5809,5809,5641,5428,5428,5428,5428,5528,5462,5562,5562,5562,5562,5633,5687,5687,5687,5687,5687,5687,5687,5687,5687,5687,5112,5112,5112,5112,5112,5112,5112,5112,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5020,5020,5020,5020,5020,5020,5020,4967,4967,4967,5020,5160,5160,5148,4946,5020,5020,5020,5020,5020,5020,4930,4730,4983,4877,5197,4997,5197,5197,5304,5090,5144,5250,5050,5250,4937,5044,5187,5187,4987,5241,5444,4763,,
11.06.2026 - 18.06.2026,4042,4042,4042,4042,4040,4040,4040,4040,4040,4040,4040,4140,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,4064,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3512,3512,3512,3512,3459,3459,3459,3459,3459,3459,3459,3650,3650,3652,3650,3704,3704,3704,3704,3704,3704,3383,3918,3918,3918,4238,4238,4238,3971,3650,3650,3650,3383,3183,3383,2916,2809,2812,2866,2666,2866,2919,2973,2866,2919
11.06.2026 - 25.06.2026,5145,5145,5145,5145,5159,5159,5159,5159,5159,5159,5159,5259,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4883,4729,4729,4729,4729,4676,4676,4676,4676,4676,4676,4676,4868,4868,4855,4868,4921,4921,5222,5222,5222,5222,4900,5437,5437,5098,5420,5420,5420,5152,4830,4830,4830,4853,4653,4853,4385,4277,4328,4382,4182,4382,4435,4489,4441,4495
18.06.2026 - 25.06.2026,3895,3895,3895,3895,3894,3894,3894,3894,3894,3894,3894,3994,3918,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,4025,4025,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3673,3673,3673,3673,3673,3673,3673,3673,3619,3673,3673,3864,3864,3866,3864,3864,3864,3864,3864,3864,3864,3864,4185,4185,4185,4506,4559,4559,4613,4613,4613,4613,4613,4613,4613,3821,3714,3772,3451,3304,3504,3290,3323,3183,3183
18.06.2026 - 02.07.2026,5476,5476,5476,5476,5524,5524,5524,5524,5524,5524,5524,5624,5548,5602,5602,5602,5602,5602,5602,5602,5602,5602,5602,5602,5602,5602,5655,5655,5192,5192,5192,5192,5192,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5204,5312,5312,5312,5312,5312,5312,5312,5312,5258,5312,5312,5506,5590,5577,5590,5590,5590,5506,5506,5506,5506,5506,5830,5840,5840,6184,6238,,,,,,,,,,,,,,,,,5224,5224
25.06.2026 - 02.07.2026,3569,3569,3569,3569,3568,3568,3568,3568,3568,3568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2026 - 09.07.2026,5098,5098,5098,5098,5110,5110,5110,5110,5110,5110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.2026 - 09.07.2026,3578,3578,3578,3578,3576,3576,3576,3576,,,3576,3676,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3391,3391,3391,3391,3391,3391,3498,3498,3498,3498,3498,3498,3548,3548,3548,3548,3548,3334,3334,3334,3334,3334,3334,3334,3334,3334,3334,3334,3421,3421,3422,3421,3421,3421,3421,3421,3421,3421,3495,4028,4028,4028,4028,4028,4028,4028,4028,4028,4028,,,,,,4086,3712,3712,3712,3712,3766,3755,3755
02.07.2026 - 16.07.2026,5357,5357,5357,5357,5370,5370,5370,5370,,,5370,5470,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5397,5183,5183,5183,5183,5183,5183,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5290,5075,5075,5394,5394,5394,5394,5394,5394,5394,5394,5394,5481,5481,5469,5481,5481,5627,5627,5627,5627,5627,5701,6238,6238,6238,6238,6238,6238,6238,6238,6238,5888,,,,,,5946,5570,5570,5570,5570,5624,5463,5463
09.07.2026 - 16.07.2026,4140,4140,4140,4140,4138,4138,4138,4138,4138,4138,4138,4238,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4269,4269,4269,4269,4269,4269,4269,4269,4269,4269,4269,4269,4322,4322,4322,4322,4322,4322,4322,4322,4322,4322,4322,4322,4324,4056,4056,4056,4056,4056,4056,4056,4056,4589,4589,4589,4802,4802,4802,4802,4802,4802,4102,4102,4102,4102,4102,4102,4161,3573,3573,3573,3573,3627,3627,3627
09.07.2026 - 23.07.2026,5796,5796,5796,5796,5810,5810,5881,5810,5810,5810,5810,5910,5834,5834,5834,5834,5834,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,5905,6117,6117,6224,6224,6224,6224,6224,6224,6224,6224,6224,6224,6224,6224,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6264,6010,6010,6094,6094,6094,6094,6094,6094,6728,6728,6728,6942,6942,6942,6843,6843,6843,6493,6493,6493,6493,6493,6493,6552,5962,5962,5962,5962,6016,6016,6016
16.07.2026 - 23.07.2026,4146,4146,4146,4146,4144,4226,4226,4226,4226,4226,4226,4326,4241,4241,4241,4241,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4401,4508,4508,4510,4241,4241,4241,4241,4295,4295,4295,4295,4295,4295,4295,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4508,4566,4192,4192,4192,4192,4246,4246,4246
16.07.2026 - 30.07.2026,5965,5965,5965,5965,5978,6060,6089,6089,6089,6089,6089,6189,6104,6104,6104,6104,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6265,6372,6372,6357,6104,6104,6104,6130,6183,6183,6544,6544,6544,6544,5622,5836,5836,5836,5836,5836,5836,5686,6064,6064,6064,6064,6064,6123,5747,5747,5747,5747,5801,5801,5801
23.07.2026 - 30.07.2026,,,,,,,,,,,3976,4076,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,4098,4098,4098,4098,4098,4098,4098,4098,4098,4098,4098,4151,4151,4151,4151,4151,4151,4151,4151,4151,4205,4205,4258,4258,4260,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3991,3885,3885,3885,3885,3885,3885,3585,3585,3585,3585,3585,3585,3642,3269,3269,3269,,,,3375
23.07.2026 - 06.08.2026,,,,,,,,,,,5923,6023,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6099,6099,6099,6099,6099,6099,6099,6099,6099,6152,6152,6206,6206,6191,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5938,5831,5831,5831,5831,5831,5831,5681,5681,5681,5681,5681,5681,5739,5364,5364,5364,,,,5471
30.07.2026 - 06.08.2026,4227,4227,4227,4227,4226,4226,4226,4226,4226,4226,4226,4326,4258,4258,4258,4258,4258,4258,4258,4311,4311,4311,4311,4311,4311,4311,4311,4311,4311,4418,4418,4418,4418,4418,4418,4631,4631,4631,4631,4631,4631,4631,4631,4631,4685,4685,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,4740,4471,4471,4471,4471,4471,4471,4471,4471,4471,4471,4471,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4763,4176,4176,4176,4176,4229,4229,4229
30.07.2026 - 13.08.2026,5834,5834,5834,5834,5849,5849,6117,5849,5849,5849,5849,5949,5881,5881,5881,5881,5881,5975,5975,6029,6029,6029,6029,6029,6029,6029,6029,6029,6202,6310,6310,6310,6310,6310,6310,6524,6574,6574,6574,6574,6574,6574,6574,6574,6627,6627,6681,6681,6681,6681,6681,6681,6681,6681,6681,6681,6681,6681,6681,6664,6413,6413,6413,6413,6413,6413,6413,6413,6413,6413,6145,6379,6379,6379,6379,6379,6379,6379,6647,6647,6647,6647,6647,6706,6116,6116,6116,6116,6170,6170,6170
06.08.2026 - 13.08.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4683,4096,4096,4096,4096,4149,4149,4149
06.08.2026 - 20.08.2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7117,7117,7117,7117,7117,7117,7117,7117,7117,7117,7117,7117,7204,6614,6614,6614,6614,6668,6668,6668
13.08.2026 - 20.08.2026,3541,3541,3541,3541,3539,3539,3539,3539,3539,3539,3539,3639,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,3562,,,,,,,,,,,,,,,,4062,4062,4116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2026 - 27.08.2026,5090,5090,5090,5090,5103,5103,5377,5103,5103,5103,5103,5203,5126,5126,5126,5126,5126,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5217,5400,5400,5400,5400,5400,5400,5400,,,,,,,,,,,,,,,,5800,5800,5853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2026 - 03.09.2026,4030,4030,4030,4030,4028,4028,4028,4028,4083,4083,4083,4183,4099,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4199,4305,4305,4307,4038,4038,4038,4038,4038,4038,4038,4038,4038,4038,4038,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252,4252,4310,3936,3936,3936,3936,3989,3989,3989
27.08.2026 - 10.09.2026,5234,5234,5234,5234,5248,5248,5379,5248,5304,5304,5304,5404,5319,5369,5369,5369,5369,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5499,5499,5499,5499,5499,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5582,5669,5669,5776,5776,5762,5421,5421,5421,5421,5421,5421,5421,5421,5508,5508,5508,5723,5723,5723,5723,5723,5723,5723,5635,5635,5635,5635,5635,5693,5318,5318,5318,5318,5372,5372,5372
03.09.2026 - 10.09.2026,4098,4098,4098,4098,4096,4096,4096,4096,4096,4096,4096,4296,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4136,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4293,4346,4346,4346,4346,4346,4348,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4080,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4458,4084,4084,4084,4084,4084,4084,4084
03.09.2026 - 17.09.2026,5295,5295,5295,5295,5310,5310,5331,5310,5310,5310,5310,5510,5350,5400,5400,5400,5400,5420,5420,5420,5420,5420,5420,5420,5420,5420,5420,5420,5420,5577,5577,5577,5577,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,5726,,,,5779,5779,5779,5764,5512,5512,5512,5555,5555,5555,5555,5555,5580,5580,5580,5901,5901,5901,5901,5901,5901,5663,5876,5876,5876,5876,6026,6085,5710,5710,5710,5710,5710,5710,5710
17.09.2026 - 24.09.2026,4024,4024,4024,4024,4023,4023,4023,4023,4023,4023,4023,4223,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4081,4295,4295,4296,4295,4295,4295,4295,4295,4295,4295,4295,4295,4348,4348,4708,4708,4708,4708,4708,4708,4708,4708,4708,4708,4708,4768,4827,4239,4239,4239,4239,4239,4239,4239
17.09.2026 - 01.10.2026,5100,5100,5100,5100,5115,5115,5115,5115,5115,5115,5115,5315,5173,5173,5173,5173,5173,5173,5173,5173,,,,,,5173,5173,5173,5173,5173,5173,5173,5173,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5299,5513,5513,5498,5513,5513,5513,5513,5513,5513,5513,5554,5435,5488,5608,5829,5829,5829,5829,5829,5829,5829,5949,5949,5949,5949,5979,6038,5448,5448,5448,5448,5448,5448,5448
24.09.2026 - 01.10.2026,3828,3828,3828,3828,3826,3826,3826,3897,3897,3897,3897,4097,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,3937,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4204,4204,4206,4204,4204,4204,4204,4204,4204,4204,4204,4204,4204,4204,4525,4525,4525,4578,4578,4578,4578,4578,4578,4578,4578,4578,4637,3835,3835,3835,3835,3835,3835,3835
