,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25,07.03.2026 04:22:29,08.03.2026 04:44:19,09.03.2026 04:53:04,10.03.2026 04:43:24,11.03.2026 04:44:28,13.03.2026 04:45:40,14.03.2026 04:43:42,15.03.2026 05:07:11,16.03.2026 05:17:19,17.03.2026 04:53:07,18.03.2026 04:57:55,19.03.2026 04:55:55,20.03.2026 04:48:34,21.03.2026 04:27:18,22.03.2026 04:53:43,22.03.2026 19:00:45,22.03.2026 19:26:03,23.03.2026 05:04:55,24.03.2026 04:54:50,25.03.2026 04:55:30,26.03.2026 05:08:03,27.03.2026 05:08:40,28.03.2026 04:54:15,29.03.2026 05:12:04,30.03.2026 05:26:50,31.03.2026 05:10:34,01.04.2026 05:26:16,02.04.2026 05:04:35,03.04.2026 05:06:09,04.04.2026 04:51:29,05.04.2026 05:13:33,06.04.2026 05:26:11,07.04.2026 05:10:44
28.05.2026 - 04.06.2026,3882,3882,3882,3882,3881,3881,3881,3881,3881,3881,3881,4031,3954,4004,4004,4004,4004,4004,4004,3808,3808,3808,3808,3808,3808,3808,3535,3535,3633,3514,3314,3514,3318,3123,3172,3172,3221,3221,3221,3221
04.06.2026 - 11.06.2026,3782,3782,3782,3782,3780,3780,3780,3780,3780,3780,3780,3880,3820,3970,3970,3970,3970,3970,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,3362,3362,3362,3362,3362,3362,3362,3362,3264,3264,3264,3264
04.06.2026 - 18.06.2026,4744,4744,4744,4744,4759,4759,4847,4759,4759,4759,4759,4859,4798,4898,4898,4898,4898,4950,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4379,4379,4379,4379,4379,4379,4379,4379,4281,4281,4281,4281
11.06.2026 - 18.06.2026,3729,3729,3729,3729,3728,3728,3728,3728,3728,3728,3728,3828,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3758,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485,3485
11.06.2026 - 25.06.2026,4531,4531,4531,4531,4545,4545,4643,4545,4545,4545,4545,4645,4575,4575,4575,4575,4575,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4628,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399,4399
18.06.2026 - 25.06.2026,3578,3578,3578,3578,3576,3576,3576,3576,3576,3576,3576,3676,3607,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3705,3705,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285
18.06.2026 - 02.07.2026,4498,4498,4498,4498,4512,4512,4565,4512,4512,4512,4512,4612,4542,4591,4591,4591,4591,4645,4645,4645,4645,4645,4645,4645,4645,4645,4694,4694,4270,4270,4270,4270,4270,4270,4270,4270,4270,4270,4270,4270
25.06.2026 - 02.07.2026,3275,3275,3275,3275,3273,3273,3273,3273,3273,3273,3329,3429,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233,3233
25.06.2026 - 09.07.2026,4481,4481,4481,4481,4493,4493,4498,4493,4493,4493,4549,4649,4579,4579,4579,4579,4579,4584,4584,4584,4584,4584,4584,4584,4584,4584,4584,4584,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457
02.07.2026 - 09.07.2026,3275,3275,3275,3275,3274,3274,3274,3274,3274,3274,3274,3374,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3308,3112,3112,3112,3112,3112,3112,3210,3210,3210,3210,3210
02.07.2026 - 16.07.2026,4732,4732,4732,4732,4745,4745,4750,4745,4745,4745,4745,4845,4779,4779,4779,4779,4779,4784,4784,4784,4784,4784,4784,4784,4784,4784,4784,4784,4784,4587,4587,4587,4587,4587,4587,4685,4685,4685,4685,4685
09.07.2026 - 16.07.2026,3825,3825,3825,3825,3824,3824,3824,3824,3824,3824,3824,3924,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3854,3952,3952,3952,3952,3952
09.07.2026 - 23.07.2026,5125,5125,5125,5125,5138,5138,5215,5138,5138,5138,5138,5238,5168,5168,5168,5168,5168,5242,5242,5242,5242,5242,5242,5242,5242,5242,5242,5242,5245,5245,5245,5245,5245,5389,5389,5487,5487,5487,5487,5487
16.07.2026 - 23.07.2026,3827,3827,3827,3827,3825,3900,3900,3900,3900,3900,3900,4000,3922,3922,3922,3922,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,4069,4069,4069,4069,4069
16.07.2026 - 30.07.2026,4876,4876,4876,4876,4890,4965,5185,4965,4965,4965,4965,5065,4987,4987,4987,4987,5036,5110,5110,5110,5110,5110,5110,5110,5110,5110,5110,5110,5257,5257,5257,5257,5257,5257,5257,5355,5355,5355,5355,5355
23.07.2026 - 30.07.2026,3678,3678,3678,3678,3676,3676,3676,3676,3676,3676,3650,3750,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3672,3770,3770,3770,3770,3770
23.07.2026 - 06.08.2026,4952,4952,4952,4952,4966,4966,5191,4966,4966,4966,4939,5039,4962,4962,4962,4962,4962,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5187,5187,5187,5187,5187,5187,5187,5285,5285,5285,5285,5285
30.07.2026 - 06.08.2026,3881,3881,3881,3881,3879,3879,3879,3879,3879,3879,3879,3979,3917,3917,3917,3917,3917,3917,3917,3966,3966,3966,3966,3966,3966,3966,3966,3966,3966,4064,4064,4064,4064,4064,4064,4259,4259,4259,4259,4259
30.07.2026 - 13.08.2026,5130,5130,5130,5130,5145,5145,5366,5145,5145,5145,5145,5245,5183,5183,5183,5183,5183,5256,5256,5305,5305,5305,5305,5305,5305,5305,5305,5305,5452,5551,5551,5551,5551,5551,5551,5747,5797,5797,5797,5797
06.08.2026 - 13.08.2026,3830,3830,3830,3830,3828,3828,3828,3828,3828,3828,3828,3928,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,3868,4016,4016,4016,4016,4016,4016,4016,4066,4066,4066,4066
06.08.2026 - 20.08.2026,5023,5023,5023,5023,5038,5038,5257,5038,5038,5038,5038,5138,5077,5077,5077,5077,5077,5151,5151,5151,5151,5151,5151,5151,5151,5151,5151,5151,5297,5445,5445,5445,5445,5445,5445,5445,5595,5595,5595,5595
13.08.2026 - 20.08.2026,3226,3226,3226,3226,3224,3224,3224,3224,3224,3224,3224,3324,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3254,3754,3754,3754,3754
13.08.2026 - 27.08.2026,4422,4422,4422,4422,4436,4436,4647,4436,4436,4436,4436,4536,4465,4465,4465,4465,4465,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4535,4676,4676,4676,4676,4676,4676,4676,4676,5026,5026,5026,5026
20.08.2026 - 27.08.2026,3349,3349,3349,3349,3347,3347,3347,3347,3347,3347,3347,3447,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3372,3177,3177,3177,3177,3177,3177,3177,3377,3377,3377,3377
20.08.2026 - 03.09.2026,4261,4261,4261,4261,4275,4275,4430,4275,4275,4275,4275,4375,4301,4351,4351,4351,4351,4402,4402,4402,4402,4402,4402,4402,4402,4402,4402,4402,4506,4310,4310,4310,4310,4310,4310,4310,4510,4510,4510,4510
27.08.2026 - 03.09.2026,3701,3701,3701,3701,3699,3699,3699,3699,3750,3750,3750,3850,3772,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872,3872
27.08.2026 - 10.09.2026,4578,4578,4578,4578,4592,4592,4747,4592,4643,4643,4643,4743,4665,4715,4715,4715,4715,4767,4767,4767,4767,4767,4767,4767,4767,4767,4767,4767,4870,4870,4870,4870,4870,4870,4870,4870,4870,4870,4870,4870
03.09.2026 - 10.09.2026,3747,3747,3747,3747,3745,3745,3745,3745,3745,3745,3745,3945,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946
03.09.2026 - 17.09.2026,4617,4617,4617,4617,4632,4632,4781,4632,4632,4632,4632,4832,4685,4735,4735,4735,4735,4786,4786,4786,4786,4786,4786,4786,4786,4786,4786,4786,4883,5032,5032,5032,5032,5037,5037,5037,5037,5037,5037,5037
10.09.2026 - 17.09.2026,3845,3845,3845,3845,3843,3843,3843,3843,3843,3843,3843,4043,3994,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4142,4142,4142,4142,4142,4142,4142,4142,4142,4142,4142
10.09.2026 - 24.09.2026,4748,4748,4748,4748,4763,4763,4845,4763,4763,4763,4763,4963,4914,4914,4914,4914,4914,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4967,4996,5094,5094,5094,5094,5172,5172,5172,5172,5172,5172,5172
17.09.2026 - 24.09.2026,3682,3682,3682,3682,3680,3680,3680,3680,3680,3680,3680,3880,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751,3751
17.09.2026 - 01.10.2026,4479,4479,4479,4479,4493,4493,4615,4493,4493,4493,4493,4693,4563,4563,4563,4563,4563,4613,4613,4613,,,,,,4613,4613,4613,4685,4685,4685,4685,4685,4714,4714,4714,4714,4714,4714,4714
24.09.2026 - 01.10.2026,3484,3484,3484,3484,3482,3482,3482,3547,3547,3547,3547,3747,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601,3699,3699,3699,3699,3699,3699,3699,3699,3699,3699,3699
