,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00,16.03.2026 05:17:08,17.03.2026 04:52:55,18.03.2026 04:57:44,19.03.2026 04:55:44,20.03.2026 04:48:22,21.03.2026 04:27:06,22.03.2026 04:53:30,22.03.2026 19:00:34,22.03.2026 19:25:55,23.03.2026 05:04:43,24.03.2026 04:54:37,25.03.2026 04:55:19,26.03.2026 05:07:52,27.03.2026 05:08:29,28.03.2026 04:54:04,29.03.2026 05:11:53,30.03.2026 05:26:39,31.03.2026 05:10:23,01.04.2026 05:26:04,02.04.2026 05:04:23,03.04.2026 05:05:58,04.04.2026 04:51:18,05.04.2026 05:13:22,06.04.2026 05:26:00,07.04.2026 05:10:33,08.04.2026 05:12:34,09.04.2026 05:10:56,10.04.2026 05:26:39,11.04.2026 04:57:00,12.04.2026 05:25:07,13.04.2026 05:43:27,14.04.2026 05:25:14,15.04.2026 05:25:39,16.04.2026 05:32:06
12.03.2026 - 19.03.2026,,,,3867,,4050,4082,3206,2713,2462,2110,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2026 - 26.03.2026,,,,,,,,4569,4074,4106,4026,3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2026 - 26.03.2026,3701,3701,3901,3901,,,,3568,3283,3260,2658,2408,2503,2339,1954,2229,3061,3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2026 - 02.04.2026,4834,4834,5034,5034,,,5915,5345,5060,5036,4784,4534,4629,4192,3806,4082,4915,4896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.03.2026 - 02.04.2026,3505,3505,3705,3705,3899,4143,3943,3536,3304,3504,3132,3153,2550,2495,2350,2550,2550,2221,2495,2408,2408,2493,2493,2493,2693,2440,2221,2025,,,,,,,,,,,,,,,,,,,,,
26.03.2026 - 09.04.2026,4993,4993,5193,5193,5405,5549,5099,4689,4457,4657,4282,4303,4227,4036,3891,4113,4113,4062,4339,4251,4251,4339,4339,4339,4539,4034,3813,3675,,,,,,,,,,,,,,,,,,,,,
02.04.2026 - 09.04.2026,4431,4431,4431,4475,4635,4744,4005,3939,3939,3939,3885,3698,3337,3314,3114,3314,3283,3129,3283,3283,3283,3083,3083,3083,3283,3228,3392,3260,2910,2767,2535,2801,3131,,,,,,,,,,,,,,,,
02.04.2026 - 16.04.2026,5460,5460,5460,5503,5679,5789,5300,5234,5234,5234,5179,4992,5163,5140,4940,5140,4806,4652,5109,4806,4806,4606,4909,4909,5109,4327,4765,4632,4283,3797,3634,4104,3800,,,,,,,,,,,,,,,,
09.04.2026 - 16.04.2026,4143,4143,4143,4174,4138,4224,3997,3755,3755,3789,3372,3207,2913,2913,2788,3066,3176,2879,2879,2847,3121,2898,2898,2898,3098,3022,2879,2693,2331,2331,2165,2550,2518,2440,2693,2600,2568,2568,2568,2568,2737,,,,,,,,
09.04.2026 - 23.04.2026,5334,5334,5334,5366,5346,5433,5306,5063,5063,5097,4678,,4749,4749,4625,4903,5013,4715,4715,4344,4620,4735,4735,4735,4935,4859,3988,4279,3915,3826,3660,4135,4500,4422,4676,4532,4500,4500,4500,4500,4720,,,,,,,,
16.04.2026 - 23.04.2026,3870,3870,3870,3904,3899,,3899,3755,3755,3755,3504,3285,3372,3426,3226,3426,3153,2933,3098,3098,3207,3007,3007,3007,3207,3176,3098,3132,2824,2803,2603,2879,2879,2803,2550,2714,2534,2534,2578,2578,2803,2792,2824,2847,2866,3066,2902,2769,
16.04.2026 - 30.04.2026,,,,,,,,,,,,,,,,,,4552,4722,4722,4835,4635,4635,4635,4835,4803,4300,4757,4439,4417,4217,4496,4496,4586,4325,4495,4310,4310,4355,4355,4536,4575,4608,4578,4604,4804,4762,4625,
23.04.2026 - 30.04.2026,4023,4023,4023,,,,,3856,,,,,,,,,3364,3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.04.2026 - 07.05.2026,5127,5127,5127,,,,,4973,,,,,,,,,4926,4673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2026 - 07.05.2026,3930,3930,3930,3930,3928,3928,3928,3983,3983,3983,3983,4183,4019,4019,4019,4019,3965,4019,4019,3847,4392,4392,4392,4392,4392,3847,3956,3412,3412,3566,3366,3566,3566,3566,3566,3566,3621,3621,3621,3621,3947,4165,4437,4328,4328,4328,4002,4002,4002
30.04.2026 - 14.05.2026,4819,4819,4819,4819,4834,4834,4834,4888,4888,4888,4888,5088,,,,,4872,4926,4926,4756,5296,5296,5296,5296,5296,4756,4864,4324,4324,4378,4178,4378,,,4378,4666,,,,,5144,5360,5342,5234,5234,5234,4910,4910,5198
07.05.2026 - 14.05.2026,3666,3666,3666,3666,3665,3665,3665,3774,3774,3774,3774,3924,3792,3792,3792,3792,3792,3792,3792,3792,3792,3737,3737,3737,3737,3792,3760,3760,3760,3319,3119,3374,3374,3374,3374,3374,3428,3428,3428,3428,4106,4424,4533,4019,4019,4019,3780,3780,3780
