,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25,07.03.2026 04:22:29,08.03.2026 04:44:19,09.03.2026 04:53:04,10.03.2026 04:43:24,11.03.2026 04:44:28,13.03.2026 04:45:40,14.03.2026 04:43:42,15.03.2026 05:07:11,16.03.2026 05:17:19,17.03.2026 04:53:07,18.03.2026 04:57:55,19.03.2026 04:55:55,20.03.2026 04:48:34,21.03.2026 04:27:18,22.03.2026 04:53:43,22.03.2026 19:00:45,22.03.2026 19:26:03,23.03.2026 05:04:55,24.03.2026 04:54:50,25.03.2026 04:55:30,26.03.2026 05:08:03,27.03.2026 05:08:40,28.03.2026 04:54:15,29.03.2026 05:12:04,30.03.2026 05:26:50,31.03.2026 05:10:34,01.04.2026 05:26:16,02.04.2026 05:04:35,03.04.2026 05:06:09,04.04.2026 04:51:29,05.04.2026 05:13:33,06.04.2026 05:26:11,07.04.2026 05:10:44,08.04.2026 05:12:45,09.04.2026 05:11:07,10.04.2026 05:26:51,11.04.2026 04:57:11,12.04.2026 05:25:17,13.04.2026 05:43:39,14.04.2026 05:25:26
12.03.2026 - 19.03.2026,,,,3530,,,3724,2926,2476,2247,1927,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2026 - 26.03.2026,,,,,,,,4040,3589,3359,3258,2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2026 - 02.04.2026,4285,4285,4485,4485,,,5026,4197,3936,3915,3833,3583,3683,3303,2934,3203,3985,3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2026 - 26.03.2026,,,,,,,,3256,2996,2975,2426,2176,2276,2126,1758,2027,2807,2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.03.2026 - 02.04.2026,3180,3180,3380,3380,3556,3796,3596,3226,2997,3197,2857,2876,2327,2277,2127,2327,2327,2027,2277,2198,2198,2258,2258,2258,2458,2227,2027,1848,,,,,,,,,,,,,,,,,,,
26.03.2026 - 09.04.2026,4528,4528,4728,4728,4922,5062,4612,4238,4009,4209,3866,3886,3797,3627,3478,3697,3697,3416,3667,3588,3588,3650,3650,3650,3850,3567,3365,3195,,,,,,,,,,,,,,,,,,,
02.04.2026 - 09.04.2026,4111,4111,4111,4151,4296,4396,3656,3596,3596,3596,3546,3375,3047,3026,2826,3026,2997,2857,2997,2997,2997,2797,2797,2797,2997,2947,3097,2976,2657,2526,2298,2557,2876,,,,,,,,,,,,,,
02.04.2026 - 16.04.2026,4840,4840,4840,4880,5008,5108,4618,4591,4591,4591,4541,4371,4380,4359,4277,4477,4330,4190,4448,4330,4330,4130,4248,4248,4448,3869,4248,4127,3809,3428,3220,3559,3348,,,,,,,,,,,,,,
09.04.2026 - 16.04.2026,3801,3801,3801,3830,3796,3875,3646,3425,3425,3456,3076,2926,2657,2657,2526,2797,2897,2626,2626,2597,2847,2626,2626,2626,2826,2757,2626,2458,2127,2127,1958,2327,2298,2227,2458,2377,2348,2348,2348,2348,,,,,,,
09.04.2026 - 23.04.2026,4660,4660,4660,4689,4644,4723,4594,4372,4372,4403,4061,,3970,3970,3839,4110,4211,4088,4088,3909,4160,3939,3939,3939,4139,4070,3559,3790,3457,3437,3268,3658,3858,3787,4019,3887,3858,3858,3858,3858,,,,,,,
