,01.03.2026 21:28:27,01.03.2026 21:32:48,02.03.2026 04:49:27,03.03.2026 04:47:56,04.03.2026 04:41:30,05.03.2026 04:45:48,06.03.2026 04:43:13,07.03.2026 04:22:18,08.03.2026 04:44:08,09.03.2026 04:52:52,10.03.2026 04:43:12,11.03.2026 04:44:17,13.03.2026 04:45:28,14.03.2026 04:43:31,15.03.2026 05:07:00,16.03.2026 05:17:08,17.03.2026 04:52:55,18.03.2026 04:57:44,19.03.2026 04:55:44,20.03.2026 04:48:22,21.03.2026 04:27:06,22.03.2026 04:53:30,22.03.2026 19:00:34,22.03.2026 19:25:55,23.03.2026 05:04:43,24.03.2026 04:54:37,25.03.2026 04:55:19,26.03.2026 05:07:52,27.03.2026 05:08:29,28.03.2026 04:54:04,29.03.2026 05:11:53,30.03.2026 05:26:39,31.03.2026 05:10:23,01.04.2026 05:26:04,02.04.2026 05:04:23,03.04.2026 05:05:58,04.04.2026 04:51:18,05.04.2026 05:13:22,06.04.2026 05:26:00
28.05.2026 - 04.06.2026,4345,4345,4345,4345,4344,4344,4344,4344,4344,4344,4344,4494,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 - 11.06.2026,5308,5308,5308,5308,5322,5322,5322,5322,5322,5322,5322,5472,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2026 - 11.06.2026,3958,3958,3958,3958,3956,3956,3956,3956,3956,3956,3956,4056,3990,3990,3990,3990,3990,3990,4044,4044,4044,4044,4044,4044,4044,4044,4144,4144,3421,3421,3421,3421,3421,3421,3421,3421,3313,3313,3313
04.06.2026 - 18.06.2026,5728,5728,5728,5728,5743,5743,5574,5361,5361,5361,5361,5461,5395,5395,5395,5395,5395,5466,5520,5520,5520,5520,5520,5520,5520,5520,5620,5620,5039,5039,5039,5039,5039,5039,5039,5039,4931,4931,4931
11.06.2026 - 18.06.2026,4072,4072,4072,4072,4070,4070,4070,4070,4070,4070,4070,4170,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,4094,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793
11.06.2026 - 25.06.2026,5176,5176,5176,5176,5189,5189,5189,5189,5189,5189,5189,5289,5212,5262,5262,5262,5262,5262,5262,5262,5262,5262,5262,5262,5262,5262,5262,5262,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960
18.06.2026 - 25.06.2026,3896,3896,3896,3896,3894,3894,3894,3894,3894,3894,3894,3994,3918,4051,4051,4051,4051,4051,4051,4051,4051,4051,4051,4051,4051,4051,4105,4105,3643,3643,3643,3643,3643,3643,3643,3643,3643,3643,3643
18.06.2026 - 02.07.2026,5676,5676,5676,5676,5725,5725,5725,5725,5725,5725,5725,5825,5748,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5832,5886,5886,5420,5420,5420,5420,5420,5432,5432,5432,5432,5432,5432
25.06.2026 - 02.07.2026,4048,4048,4048,4048,4047,4047,4047,4047,4047,4047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.06.2026 - 09.07.2026,5377,5377,5377,5377,5390,5390,5390,5390,5390,5390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.07.2026 - 09.07.2026,3678,3678,3678,3678,3677,3677,3677,3677,,,3677,3777,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3704,3489,3489,3489,3489,3489,3489,3597,3597,3597,3597
09.07.2026 - 16.07.2026,3871,3871,3871,3871,3870,3870,3870,3870,3870,3870,3870,3970,3893,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,3943,4051,4051,4051,4051
16.07.2026 - 23.07.2026,3828,3828,3828,3828,3827,3909,3909,3909,3909,3909,3909,4009,3924,3924,3924,3924,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,3977,4085,4085,4085,4085
16.07.2026 - 30.07.2026,5997,5997,5997,5997,6011,6093,6122,6122,6122,6122,6122,6222,6136,6136,6136,6136,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6190,6298,6298,6298,6298
23.07.2026 - 30.07.2026,,,,,,,,,,,4209,4309,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4331,4331,4331,4331
23.07.2026 - 06.08.2026,,,,,,,,,,,6005,6105,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6128,6128,6128,6128
30.07.2026 - 06.08.2026,4162,4162,4162,4162,4161,4161,4161,4161,4161,4161,4161,4261,4192,4192,4192,4192,4192,4192,4192,4246,4246,4246,4246,4246,4246,4246,4246,4246,4246,4354,4354,4354,4354,4354,4354,4569,4569,4569,4569
13.08.2026 - 20.08.2026,3772,3772,3772,3772,3771,3771,3771,3771,3771,3771,3771,3871,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,,,,
13.08.2026 - 27.08.2026,5322,5322,5322,5322,5335,5335,5608,5335,5335,5335,5335,5435,5357,5357,5357,5357,5357,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5448,5631,5631,5631,5631,5631,5631,5631,,,,
27.08.2026 - 03.09.2026,3912,3912,3912,3912,3910,3910,3910,3910,3966,3966,3966,4066,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981,3981
03.09.2026 - 10.09.2026,4183,4183,4183,4183,4181,4181,4181,4181,4181,4181,4181,4381,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4220,4327,4327,4327,4327,4327,4327,4327,4327,4327,4327
17.09.2026 - 24.09.2026,4158,4158,4158,4158,4156,4156,4156,4156,4156,4156,4156,4356,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213,4213
24.09.2026 - 01.10.2026,4101,4101,4101,4101,4099,4099,4099,4171,4171,4171,4171,4371,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4210,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317
