,22.03.2026 19:02:37,22.03.2026 19:27:16,23.03.2026 05:07:05,24.03.2026 04:57:04,25.03.2026 04:57:20,26.03.2026 05:10:11,27.03.2026 05:10:46,28.03.2026 04:56:06,29.03.2026 05:13:54,30.03.2026 05:28:59,31.03.2026 05:12:29,01.04.2026 05:28:31,02.04.2026 05:06:27,03.04.2026 05:08:01,04.04.2026 04:53:37,05.04.2026 05:15:28,06.04.2026 05:28:08,07.04.2026 05:12:34,08.04.2026 05:14:35,09.04.2026 05:12:57,10.04.2026 05:29:06,11.04.2026 04:59:18,12.04.2026 05:27:14,13.04.2026 05:45:40,14.04.2026 05:27:35,15.04.2026 05:27:54,16.04.2026 05:34:09,17.04.2026 05:31:59,18.04.2026 05:10:08,19.04.2026 05:33:05,20.04.2026 05:45:17,21.04.2026 05:30:37,22.04.2026 05:30:38,23.04.2026 05:34:05,24.04.2026 05:39:11,25.04.2026 05:14:51,26.04.2026 05:43:19,27.04.2026 05:58:43,28.04.2026 06:10:42,29.04.2026 05:58:00,30.04.2026 06:09:18,01.05.2026 06:19:31,02.05.2026 05:40:10,03.05.2026 06:08:46,04.05.2026 06:17:42
04.01.2027 - 18.01.2027,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12302,12562,12562,12562,12562,12562,12562,12562,12562,12562,12562,12562,12671,12671,12671,12671,12671,12667,12671,12671,12671,12671,12671,12671,12671
10.01.2027 - 25.01.2027,12236,12236,12236,12236,12236,12236,12372,12372,12372,12372,12372,12372,12236,12372,12372,12372,12372,12372,12236,12236,12236,12496,12496,12605,12605,12605,12605,12605,12496,12496,12496,12596,12828,12828,12828,12828,12828,12822,12828,12829,12829,12829,12829,12829,12829
17.01.2027 - 01.02.2027,13056,13056,13056,12919,12919,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13056,13179,13179,13179,13179,13289,13289,13289,13289,13289,13289,13439,13590,13590,13590,13590,13590,13583,13590,13590,13590,13590,13590,13590,13590
24.01.2027 - 08.02.2027,13796,13796,13796,13796,13796,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,13920,14070,14111,14111,14111,14111,14111,14104,14111,14111,14111,14111,14111,14111,14111
31.01.2027 - 15.02.2027,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,13957,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14326,14319,14326,14326,14326,14326,14326,14326,14326
07.02.2027 - 22.02.2027,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,14072,14072,14072,14072,14072,14072,14072,14072,14072,14072,14072,14141,14141,14141,14141,14141,14134,14141,14141,14141,14141,14141,14141,14141
14.02.2027 - 01.03.2027,13331,13331,13331,13331,13331,13331,13331,13478,13478,13478,13478,13478,13331,13331,13331,13331,13331,13331,13331,13331,13331,13478,13478,13478,13478,13478,13478,13478,13478,13478,13478,13628,13738,13738,13738,13697,13697,13690,13697,13697,13697,13697,13697,13697,13697
21.02.2027 - 08.03.2027,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,12884,13144,13144,13144,13144,13144,13144,13144,13144,13144,13144,13294,13363,13363,13363,13363,13363,13356,13363,13363,13363,13363,13363,13363,13363
28.02.2027 - 15.03.2027,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12272,12395,12395,12395,12395,12395,12395,12395,12395,12395,12395,12504,12573,12573,12573,12573,12573,12566,12573,12573,12573,12573,12573,12573,12573
07.03.2027 - 22.03.2027,11968,11968,11968,11968,11968,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12036,12132,12132,12241,12241,12235,12350,12241,12241,12241,12241,12241,12241
