,22.03.2026 19:02:42,22.03.2026 19:27:20,23.03.2026 05:07:11,24.03.2026 04:57:10,25.03.2026 04:57:25,26.03.2026 05:10:16,27.03.2026 05:10:52,28.03.2026 04:56:11,29.03.2026 05:13:59,30.03.2026 05:29:04,31.03.2026 05:12:34,01.04.2026 05:28:37,02.04.2026 05:06:32,03.04.2026 05:08:06,04.04.2026 04:53:42,05.04.2026 05:15:33,06.04.2026 05:28:13,07.04.2026 05:12:39,08.04.2026 05:14:40,09.04.2026 05:13:02,10.04.2026 05:29:12,11.04.2026 04:59:23,12.04.2026 05:27:19,13.04.2026 05:45:45,14.04.2026 05:27:40,15.04.2026 05:27:59,16.04.2026 05:34:14,17.04.2026 05:32:04,18.04.2026 05:10:14,19.04.2026 05:33:11,20.04.2026 05:45:22,21.04.2026 05:30:42,22.04.2026 05:30:45,23.04.2026 05:34:10,24.04.2026 05:39:16,25.04.2026 05:14:57,26.04.2026 05:43:24,27.04.2026 05:58:49,28.04.2026 06:10:48,29.04.2026 05:58:05,30.04.2026 06:09:24,01.05.2026 06:19:36,02.05.2026 05:40:15
04.01.2027 - 18.01.2027,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,10907,11037,11037,11037,11037,11037,11037,11037,11037,11037,11037,11037,11092,11092,11092,11092,11092,11088,11092,11092,11092,11092,11092
10.01.2027 - 25.01.2027,10742,10742,10742,10742,10742,10742,10810,10810,10810,10810,10810,10810,10742,10810,10810,10810,10810,10810,10742,10742,10742,10872,10872,10926,10926,10926,10926,10926,10872,10872,10872,10972,11088,11088,11088,11088,11088,11082,11088,11088,11088,11088,11088
17.01.2027 - 01.02.2027,11449,11449,11449,11381,11381,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11449,11511,11511,11511,11511,11612,11612,11612,11612,11612,11612,11762,11837,11837,11837,11837,11837,11831,11837,11837,11837,11837,11837
24.01.2027 - 08.02.2027,12094,12094,12094,12094,12094,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12155,12305,12326,12326,12326,12326,12326,12319,12326,12326,12326,12326,12326
31.01.2027 - 15.02.2027,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12416,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12594,12600,12600,12600,12600,12600
07.02.2027 - 22.02.2027,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12273,12403,12403,12403,12403,12403,12403,12403,12403,12403,12403,12403,12437,12437,12437,12437,12437,12430,12437,12437,12437,12437,12437
14.02.2027 - 01.03.2027,11718,11718,11718,11718,11718,11718,11718,11791,11791,11791,11791,11791,11718,11718,11718,11718,11718,11718,11718,11718,11718,11791,11791,11791,11791,11791,11791,11791,11791,11791,11791,11941,11996,11996,11996,11976,11976,11969,11976,11976,11976,11976,11976
21.02.2027 - 08.03.2027,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11346,11476,11476,11476,11476,11476,11476,11476,11476,11476,11476,11626,11660,11660,11660,11660,11660,11654,11660,11660,11660,11660,11660
28.02.2027 - 15.03.2027,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10710,10771,10771,10771,10771,10771,10771,10771,10771,10771,10771,10871,10906,10906,10906,10906,10906,10899,10906,10906,10906,10906,10906
07.03.2027 - 22.03.2027,10482,10482,10482,10482,10482,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10564,10564,10664,10664,10658,10719,10664,10664,10664,10664
