,22.03.2026 19:02:37,22.03.2026 19:27:16,23.03.2026 05:07:05,24.03.2026 04:57:04,25.03.2026 04:57:20,26.03.2026 05:10:11,27.03.2026 05:10:46,28.03.2026 04:56:06,29.03.2026 05:13:54,30.03.2026 05:28:59,31.03.2026 05:12:29,01.04.2026 05:28:31,02.04.2026 05:06:27,03.04.2026 05:08:01,04.04.2026 04:53:37,05.04.2026 05:15:28,06.04.2026 05:28:08,07.04.2026 05:12:34,08.04.2026 05:14:35,09.04.2026 05:12:57,10.04.2026 05:29:06,11.04.2026 04:59:18,12.04.2026 05:27:14,13.04.2026 05:45:40,14.04.2026 05:27:35,15.04.2026 05:27:54,16.04.2026 05:34:09
27.03.2026 - 11.04.2026,10859,10859,,,,7797,,,,,,,,,,,,,,,,,,,,,
10.04.2026 - 25.04.2026,13493,13493,13493,12839,13057,,13057,13275,13275,13275,13275,13057,12839,12566,,12076,12412,12412,,,,,,,,,
24.04.2026 - 09.05.2026,10530,10530,10930,10930,10598,10212,10212,10212,9812,10212,10212,,,,,,,,,,,,,,,,
05.11.2026 - 20.11.2026,12348,12348,12348,12485,12485,12485,12485,12348,12348,12348,12485,12485,12485,12485,12348,12348,12348,12348,12348,12348,12348,12608,12608,12608,12608,12608,12717
12.11.2026 - 27.11.2026,12098,12098,12098,12098,12098,12098,12098,12098,12098,12098,12098,12098,12098,12098,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207,12207
19.11.2026 - 04.12.2026,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247,12247
26.11.2026 - 11.12.2026,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008,12008
03.12.2026 - 18.12.2026,11616,11616,11616,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11625,11734,11734,11734,11734,11734,11734,11625
10.12.2026 - 25.12.2026,11697,11697,11697,11697,11697,11697,11697,11587,11587,11587,11587,11587,11587,11587,11587,11587,11587,11697,11697,11697,11697,11587,11587,11587,11587,11587,11587
17.12.2026 - 01.01.2027,13145,13145,13145,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036,13036
24.12.2026 - 08.01.2027,12967,12967,12967,12967,12967,13176,13184,13184,13184,13184,13184,13176,13176,13176,13176,13176,13176,13176,13176,13184,13184,13293,13511,13511,13511,13511,13511
31.12.2026 - 15.01.2027,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12476,12736,12736,12736,12736,12736,12736
07.01.2027 - 22.01.2027,12415,12415,12415,12415,12415,12456,12415,12415,12415,12415,12415,12415,12415,12415,12415,12415,12415,12415,12415,12415,12415,12524,12565,12565,12565,12565,12565
14.01.2027 - 29.01.2027,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12367,12476,12476,12476,12476,12586,12586,12586
21.01.2027 - 05.02.2027,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13206,13466,13466,13466,13466,13466,13466
28.01.2027 - 12.02.2027,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003,14003
04.02.2027 - 19.02.2027,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13695,13954,13954,13954,13954,13954,13954
11.02.2027 - 26.02.2027,12725,12725,12725,12725,12725,12725,12725,12725,12725,12725,12725,12725,12862,12985,12985,12985,12985,12985,12985,12985,12985,13229,13229,13229,13229,13229,13229
18.02.2027 - 05.03.2027,12761,12761,12761,12761,12761,12761,12761,12897,12897,12897,12897,12897,12761,12761,12761,12761,12761,12761,12761,12761,12761,13021,13021,13021,13021,13021,13021
25.02.2027 - 12.03.2027,11768,11768,11768,11768,11904,11904,11904,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137,12137
04.03.2027 - 19.03.2027,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11776,11913,11776,11776,12036,12036,12036,12146,12145,12145
11.03.2027 - 26.03.2027,11635,11635,11635,11499,11499,11499,11499,11499,11499,11567,11567,11635,11686,11686,11686,11686,11686,11686,11840,11840,11949,12096,12096,12096,12096,12096,12315
18.03.2027 - 02.04.2027,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12105,12434,12434,12434,12434,12434,12434
25.03.2027 - 09.04.2027,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12430,12430,12430,12430,12430,12430
01.04.2027 - 16.04.2027,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12101,12430,12430,12430,12430,12430,12430
08.04.2027 - 23.04.2027,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003,12003
15.04.2027 - 30.04.2027,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11450,11779,11779,11779,11779,11779,11779
