,22.03.2026 19:02:55,22.03.2026 19:27:28,23.03.2026 05:07:25,24.03.2026 04:57:25,25.03.2026 04:57:37,26.03.2026 05:10:30,27.03.2026 05:11:06,28.03.2026 04:56:24,29.03.2026 05:14:12,30.03.2026 05:29:19,31.03.2026 05:12:47,01.04.2026 05:28:52,02.04.2026 05:06:44,03.04.2026 05:08:19,04.04.2026 04:53:57,05.04.2026 05:15:46,06.04.2026 05:28:26,07.04.2026 05:12:51,08.04.2026 05:14:52,09.04.2026 05:13:14,10.04.2026 05:29:27,11.04.2026 04:59:37,12.04.2026 05:27:32,13.04.2026 05:45:59,14.04.2026 05:27:55,15.04.2026 05:28:14,16.04.2026 05:34:26,17.04.2026 05:32:19,18.04.2026 05:10:27,19.04.2026 05:33:26
10.04.2026 - 25.04.2026,,,,,,,,11205,11205,,10505,,,10349,,,,,,,,,,,,,,,,
24.04.2026 - 09.05.2026,10885,10885,10885,10885,10584,10584,10555,10555,10555,10555,10534,10852,10770,10670,10569,10569,10590,10590,9581,9581,8976,8068,7697,8118,7361,7088,10893,7643,,
14.05.2026 - 28.05.2026,8103,8103,8103,8103,7803,7803,7803,7803,7803,7803,7803,7682,7682,,8233,8233,8233,8233,,,,,,,,,,,,
21.05.2026 - 04.06.2026,7953,7953,7953,7953,7753,7753,7753,7753,7753,7753,7753,7632,7632,7563,7563,7563,7563,7563,7563,7563,7632,7632,7632,7632,7732,7732,7803,7803,9465,9265
28.05.2026 - 11.06.2026,7582,7582,7582,7653,7753,7753,7753,7753,7753,7753,7753,8204,8433,8364,8233,8233,8233,8233,8233,8233,8164,7883,7883,7883,8033,8033,8033,,8464,8464
11.06.2026 - 25.06.2026,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7453,7532,7532,7532,7532,7532,7532,7463,7463,7463,7463,7463,7463,7653,7653,7732,7732,7732,7732
18.06.2026 - 02.07.2026,7432,7432,7432,7363,7363,7363,7363,7363,7363,7363,7363,7363,7363,7363,7402,7402,7402,7402,7471,7402,7402,7402,7402,7402,7521,7521,7521,7521,7521,7521
25.06.2026 - 09.07.2026,7703,7703,7703,7703,7703,7703,7703,7703,7703,7703,7703,7703,7703,7782,7782,7782,7782,7782,7732,7803,7803,7803,7803,7803,7863,7803,7803,7803,7803,7803
02.07.2026 - 16.07.2026,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8232,8263,8263,8382,8382,8382,8353,8353,8382
09.07.2026 - 23.07.2026,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8132,8282,8353,8353,8353,8353,8353,8353,8282,8232,8232,8232,8232
16.07.2026 - 30.07.2026,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104,9104
23.07.2026 - 06.08.2026,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503,8503
30.07.2026 - 13.08.2026,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8554,8633,8633,8633,8563,8563,8563,8563,8563,8563,8563,8563,8563,8563,8563
06.08.2026 - 20.08.2026,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8354,8354,8354,8354
13.08.2026 - 27.08.2026,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332,8332
20.08.2026 - 03.09.2026,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464,8464
27.08.2026 - 10.09.2026,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8204,8133,8133,8133,8133,8133,8133
03.09.2026 - 17.09.2026,7832,7832,7832,7832,7832,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763,7763
10.09.2026 - 24.09.2026,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7432,7432,7403,7432,7432,7432,7432,7463,7432,7432,7432,7432,7382,7382,7382,7382,7503,7503
17.09.2026 - 01.10.2026,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563
24.09.2026 - 08.10.2026,7553,7553,7553,7553,7553,7553,7553,7553,7553,7553,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563,7563
01.10.2026 - 15.10.2026,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832,7832
08.10.2026 - 22.10.2026,7432,7432,7432,7432,7432,7432,7432,7432,7463,7463,7463,7463,7463,7463,7463,7463,7463,7463,7463,7463,7463,7463,7482,7503,7582,7582,7582,7582,7582,7582
15.10.2026 - 29.10.2026,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433,8433
22.10.2026 - 05.11.2026,7662,7662,7662,7662,7662,7662,7662,7662,7662,7662,7662,7662,7662,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731,7731
29.10.2026 - 12.11.2026,8154,8154,8154,8154,8154,8154,8154,8154,8154,8154,8154,8154,8154,8154,8233,8233,8233,8233,8233,8304,8304,8304,8304,8304,8383,8383,8383,8383,8383,8333
